Avg_MHz	Busy%	IPC	IRQ	PkgTmp	PkgWatt
108	10.86	0.70	182513	45	91.06
109	10.91	0.70	181671	45	90.88
109	10.93	0.70	181879	45	91.03
110	11.01	0.70	181843	45	90.62
112	11.19	0.70	183119	45	91.43
116	11.60	0.73	182263	45	91.28
135	13.55	0.71	184913	45	92.31
135	13.56	0.71	184306	45	92.05
135	13.51	0.71	184474	45	91.93
122	12.26	0.71	183679	45	91.25
116	11.64	0.70	183063	45	90.99
115	11.49	0.70	182118	45	90.84
111	11.18	0.70	182240	45	90.88
111	11.11	0.70	182239	45	90.86
111	11.10	0.70	182288	45	90.78
112	11.18	0.70	181199	45	90.92
118	11.82	0.73	182599	45	91.17
138	13.81	0.72	184198	45	92.20
137	13.75	0.72	184201	45	92.31
138	13.82	0.71	184208	45	92.31
140	14.01	0.71	184235	45	92.25
138	13.79	0.71	184426	45	92.07
124	12.45	0.71	183583	45	91.47
117	11.75	0.70	182996	45	91.07
113	11.37	0.70	182356	45	90.92
114	11.40	0.70	182270	45	90.85
113	11.37	0.70	182420	45	90.77
113	11.35	0.70	182424	45	90.84
113	11.34	0.70	182185	45	90.67
121	12.16	0.73	182887	45	91.40
141	14.11	0.71	184296	45	92.13
140	13.98	0.72	184281	45	92.10
139	13.96	0.72	183936	45	92.09
139	13.97	0.72	184006	45	92.12
139	13.96	0.72	183840	45	91.79
139	13.96	0.72	183918	45	92.11
125	12.56	0.71	183048	45	91.22
119	11.89	0.71	182731	45	91.18
116	11.66	0.70	180715	45	90.89
117	11.74	0.70	181694	45	90.94
115	11.52	0.70	181806	45	90.85
115	11.51	0.70	181874	45	90.93
115	11.51	0.71	181741	45	90.92
122	12.21	0.73	182298	45	91.28
144	14.39	0.72	184801	45	92.07
143	14.36	0.71	184281	45	91.94
143	14.33	0.71	184255	45	91.82
147	14.73	0.71	184256	45	91.88
144	14.38	0.71	184372	45	91.80
143	14.33	0.71	184174	45	91.73
143	14.35	0.71	184001	45	91.86
131	13.16	0.71	183906	45	91.28
123	12.36	0.70	182914	45	90.94
118	11.83	0.70	181946	45	90.81
118	11.84	0.70	181868	45	90.85
118	11.82	0.70	181921	45	90.73
118	11.87	0.70	181916	45	90.86
120	12.01	0.70	182169	45	90.77
125	12.56	0.73	182496	45	91.15
148	14.81	0.71	183677	45	92.06
147	14.77	0.71	182370	45	92.03
147	14.75	0.71	183870	45	91.95
147	14.75	0.71	184007	45	92.06
147	14.77	0.71	184013	45	92.05
147	14.75	0.71	183633	45	92.07
147	14.75	0.71	183709	45	92.14
151	15.11	0.71	183476	45	92.19
130	13.02	0.70	182896	45	91.28
124	12.41	0.70	181915	45	90.88
121	12.18	0.70	181758	45	90.85
121	12.17	0.70	181600	45	90.89
121	12.14	0.70	181435	45	90.84
121	12.12	0.70	181756	45	90.88
121	12.10	0.70	181842	45	90.87
128	12.83	0.73	182216	44	91.19
153	15.35	0.71	183981	45	92.11
150	15.01	0.71	183791	45	92.05
150	15.04	0.71	183859	45	91.92
150	15.07	0.71	184010	45	92.15
150	15.03	0.71	183986	45	91.95
150	15.02	0.71	184295	45	92.02
150	15.03	0.71	184109	45	91.97
150	15.09	0.71	183970	45	92.03
149	14.98	0.71	183179	45	92.12
133	13.30	0.71	183525	45	91.31
126	12.62	0.70	182325	45	90.96
123	12.38	0.70	181849	45	90.86
124	12.39	0.70	182076	45	90.79
125	12.50	0.69	181654	45	90.85
124	12.43	0.70	181683	45	90.75
125	12.51	0.69	181822	45	90.97
133	13.30	0.72	181955	45	91.21
155	15.58	0.71	184266	45	92.09
154	15.41	0.71	184068	45	91.84
157	15.77	0.71	183716	45	92.04
154	15.45	0.71	183937	45	92.03
154	15.44	0.71	183934	45	91.74
154	15.43	0.71	184008	45	91.79
154	15.44	0.71	183798	45	92.14
154	15.40	0.71	183693	45	92.10
148	14.79	0.72	175697	45	92.11
144	14.40	0.72	173371	45	91.87
127	12.77	0.73	173000	45	91.12
120	12.03	0.72	171792	45	90.75
118	11.86	0.72	171452	45	90.79
119	11.89	0.72	171501	45	90.70
119	11.88	0.72	171992	45	90.81
119	11.88	0.72	171810	45	90.78
119	11.90	0.72	171656	45	90.78
126	12.68	0.75	169119	45	91.14
149	14.97	0.73	172865	45	92.40
149	14.96	0.73	173226	45	92.23
149	14.97	0.73	172919	45	91.85
122	12.19	0.72	171321	45	90.93
122	12.19	0.72	171204	45	90.90
122	12.19	0.72	170786	45	90.79
124	12.48	0.72	41050	45	90.61
