Avg_MHz Busy%   IPC     IRQ     PkgTmp  PkgWatt
292     9.90    0.74    220650  46      122.34
273     9.24    0.77    222365  46      121.64
206     7.41    0.83    221552  47      113.31
192     7.04    0.84    219176  46      111.22
192     7.01    0.84    219260  47      111.78
192     7.04    0.84    219337  46      111.59
194     7.08    0.84    219175  47      111.61
194     7.10    0.84    219062  47      111.68
198     7.23    0.84    218461  50      111.72
197     7.20    0.85    220271  46      111.89
186     18.70   0.88    151690  46      93.76
186     18.57   0.88    152042  46      94.23
187     18.71   0.88    151550  46      94.12
186     18.61   0.87    151515  45      94.08
185     18.56   0.88    149859  46      93.98
184     18.40   0.88    149723  46      94.11
176     17.66   0.88    149717  46      93.48
166     16.64   0.90    150912  46      93.73
158     15.87   0.90    148925  46      93.21
158     15.83   0.90    149570  46      93.89
158     15.86   0.90    148847  46      93.16
158     15.85   0.90    149511  46      93.32
158     15.82   0.90    149678  46      93.64
164     16.48   0.91    149396  46      93.60
161     16.14   0.91    149472  46      93.26
274     11.58   0.76    198888  48      117.08
277     9.36    0.77    218355  48      121.85
247     8.42    0.78    217778  48      119.85
205     7.16    0.81    217423  48      116.85
200     7.00    0.82    216519  48      116.38
199     6.98    0.83    216295  48      116.31
198     6.93    0.82    216364  48      116.20
199     6.96    0.82    216387  48      116.23
199     6.97    0.82    216299  48      116.30
209     7.28    0.81    215405  48      116.93
181     18.07   0.89    157755  47      94.12
180     18.03   0.89    157109  46      93.91
180     18.03   0.88    157808  46      94.18
181     18.13   0.88    157226  46      94.09
178     17.88   0.89    156131  46      94.07
177     17.71   0.89    155780  46      93.90
171     17.16   0.87    156346  46      93.65
170     17.10   0.88    156593  46      93.47
174     17.43   0.86    153130  46      94.07
163     16.41   0.86    150762  46      92.79
122     12.19   0.59    159949  46      92.09
117     11.70   0.58    158967  46      91.76
118     11.78   0.58    158896  46      91.70
117     11.70   0.58    158755  46      91.36
117     11.80   0.58    159313  46      91.42
117     11.69   0.58    159943  46      91.56
126     12.57   0.61    158764  46      91.96
146     14.59   0.61    158447  46      92.20
144     14.45   0.60    159311  46      92.30
143     14.37   0.60    159462  46      91.95
143     14.34   0.61    159681  46      92.32
144     14.45   0.60    159170  46      92.13
144     14.52   0.61    159257  46      91.59
147     14.67   0.61    160177  46      92.77
130     13.01   0.59    159343  46      91.96
120     12.05   0.58    157779  46      91.58
120     12.08   0.58    158829  46      91.70
119     11.98   0.58    158810  46      91.59
