Connecting to host 10.45.0.1, port 5301
Reverse mode, remote host 10.45.0.1 is sending
[  5] local 10.45.0.7 port 40727 connected to 10.45.0.1 port 5301
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  5]   0.00-1.00   sec  2.45 MBytes  20.5 Mbits/sec  0.806 ms  5/1907 (0.26%)  
[  5]   1.00-2.00   sec  2.37 MBytes  19.9 Mbits/sec  0.952 ms  0/1846 (0%)  
[  5]   2.00-3.00   sec  2.38 MBytes  20.0 Mbits/sec  0.975 ms  0/1854 (0%)  
[  5]   3.00-4.00   sec  2.37 MBytes  19.9 Mbits/sec  0.800 ms  27/1873 (1.4%)  
[  5]   4.00-5.00   sec  2.38 MBytes  20.0 Mbits/sec  0.728 ms  5/1859 (0.27%)  
[  5]   5.00-6.00   sec  2.36 MBytes  19.8 Mbits/sec  0.726 ms  10/1849 (0.54%)  
[  5]   6.00-7.00   sec  2.38 MBytes  20.0 Mbits/sec  0.848 ms  5/1856 (0.27%)  
[  5]   7.00-8.00   sec  2.38 MBytes  20.0 Mbits/sec  0.788 ms  5/1855 (0.27%)  
[  5]   8.00-9.00   sec  2.37 MBytes  19.9 Mbits/sec  1.001 ms  12/1853 (0.65%)  
[  5]   9.00-10.00  sec  2.39 MBytes  20.1 Mbits/sec  0.660 ms  0/1860 (0%)  
[  5]  10.00-11.00  sec  2.38 MBytes  20.0 Mbits/sec  0.766 ms  0/1855 (0%)  
[  5]  11.00-12.00  sec  2.38 MBytes  19.9 Mbits/sec  0.804 ms  5/1853 (0.27%)  
[  5]  12.00-13.00  sec  2.38 MBytes  20.0 Mbits/sec  0.785 ms  0/1852 (0%)  
[  5]  13.00-14.00  sec  2.39 MBytes  20.0 Mbits/sec  0.678 ms  0/1856 (0%)  
[  5]  14.00-15.00  sec  2.38 MBytes  20.0 Mbits/sec  0.737 ms  0/1851 (0%)  
[  5]  15.00-16.00  sec  2.37 MBytes  19.9 Mbits/sec  1.136 ms  0/1842 (0%)  
[  5]  16.00-17.00  sec  2.40 MBytes  20.1 Mbits/sec  0.773 ms  0/1865 (0%)  
