Avg_MHz	Busy%	IPC	IRQ	PkgTmp	PkgWatt
154	6.64	0.74	227281	47	100.47
155	6.29	0.74	227751	47	101.37
153	6.31	0.73	228590	47	100.64
153	6.34	0.74	228857	47	100.68
154	6.20	0.75	228909	47	100.69
152	6.15	0.74	229381	48	100.55
152	6.17	0.74	229606	48	100.68
155	6.44	0.75	228958	48	100.68
151	6.66	0.74	228449	47	100.10
151	6.28	0.75	228864	47	100.38
151	6.41	0.74	228882	47	100.17
151	6.35	0.74	228790	48	100.19
154	6.61	0.74	228227	47	100.30
152	6.54	0.74	228359	47	100.04
150	6.31	0.74	228946	47	100.17
152	6.39	0.75	228397	48	100.08
157	6.63	0.75	228846	48	100.54
150	6.41	0.74	228863	48	100.11
152	6.46	0.74	228393	47	100.07
152	6.51	0.75	228443	47	100.16
151	6.38	0.74	228507	48	100.14
152	6.49	0.75	228628	47	100.13
152	6.59	0.74	228643	47	100.05
151	6.52	0.74	228139	47	100.12
152	6.67	0.75	228206	47	99.98
193	8.02	0.74	229415	47	104.12
153	6.67	0.74	227789	48	99.94
153	6.75	0.74	228410	47	100.22
152	6.68	0.74	228626	47	100.10
152	6.71	0.74	228331	47	100.03
170	7.37	0.78	228283	48	101.06
209	8.37	0.77	233366	47	108.80
218	8.59	0.91	229360	50	107.86
190	7.93	0.80	230930	47	104.69
152	6.48	0.74	228678	48	100.03
183	7.43	0.77	228995	48	102.79
202	8.19	0.81	231047	48	104.87
190	7.66	0.79	229578	47	103.83
153	6.54	0.74	227146	48	100.35
152	6.49	0.74	228743	47	100.29
152	6.47	0.74	228153	47	100.26
157	6.70	0.75	228454	48	100.49
160	6.79	0.76	229118	47	101.16
145	9.05	0.75	203140	46	96.98
148	14.85	0.76	174600	46	91.97
148	14.88	0.76	175408	46	91.86
150	15.01	0.77	175255	45	92.07
150	15.03	0.77	175217	46	91.97
134	13.39	0.77	175174	46	91.71
129	12.90	0.77	174162	46	91.95
125	12.56	0.77	173919	46	91.88
125	12.53	0.77	173293	45	91.78
127	12.70	0.77	174095	46	91.80
126	12.62	0.77	173927	46	91.84
122	12.27	0.77	169807	46	91.70
131	13.09	0.79	171905	45	91.72
154	15.43	0.77	174711	45	92.02
153	15.33	0.77	176697	45	92.03
152	15.25	0.76	176207	45	92.12
158	15.85	0.78	175873	45	92.36
151	15.11	0.77	175879	45	91.97
135	13.56	0.77	175768	45	91.91
131	13.12	0.77	172791	45	91.79
128	12.87	0.77	174134	45	91.68
128	12.82	0.76	174122	45	91.95
128	12.86	0.77	173488	45	91.74
128	12.85	0.77	174067	45	91.72
130	13.03	0.76	173285	45	91.65
134	13.45	0.79	173734	45	91.78
156	15.67	0.76	175356	44	92.03
156	15.62	0.76	176108	45	91.79
157	15.73	0.77	175595	45	91.94
157	15.69	0.77	174576	44	91.89
157	15.75	0.77	175153	45	91.83
144	14.40	0.77	174259	45	91.87
137	13.76	0.76	174534	44	91.77
130	12.99	0.77	170365	44	91.66
124	12.44	0.79	162087	44	91.57
125	12.56	0.79	163110	44	91.60
126	12.59	0.78	165974	45	91.64
125	12.53	0.78	164140	45	91.75
135	13.54	0.80	167952	44	91.72
163	16.35	0.76	178080	44	91.99
161	16.17	0.76	177476	44	91.91
162	16.25	0.76	177462	44	92.11
161	16.15	0.76	178697	44	91.98
161	16.14	0.76	179164	44	91.88
164	16.40	0.76	177591	44	92.14
157	15.71	0.77	177912	44	91.96
144	14.46	0.77	178024	44	91.66
135	13.48	0.76	175500	44	91.75
136	13.61	0.77	175735	44	91.78
136	13.59	0.77	176823	44	91.68
134	13.48	0.76	176587	44	91.83
136	13.62	0.77	176456	44	91.90
139	13.98	0.78	176318	44	91.77
139	13.93	0.77	176557	44	91.83
166	16.64	0.77	177606	44	92.40
165	16.56	0.77	178259	44	92.09
163	16.36	0.76	177874	44	91.95
165	16.48	0.77	177943	44	92.28
164	16.48	0.77	178501	44	92.15
163	16.34	0.76	179229	44	91.98
159	15.94	0.76	177007	44	91.95
148	14.78	0.77	177207	44	91.92
140	14.07	0.77	177021	44	91.07
139	13.82	0.77	180171	44	92.52
138	13.81	0.76	176144	44	91.82
140	14.03	0.77	175216	44	91.85
139	13.93	0.76	175907	44	91.86
141	14.13	0.77	177078	44	91.46
143	14.28	0.79	176619	44	92.26
170	17.01	0.77	176724	44	92.18
169	16.94	0.76	177087	44	92.12
170	17.04	0.77	175383	44	92.27
169	16.94	0.76	177634	44	92.10
168	16.81	0.77	177682	44	92.04
168	16.85	0.76	177593	44	92.18
169	16.90	0.77	178033	44	92.22
157	15.77	0.77	178253	44	91.72
147	14.71	0.76	176236	44	91.95
143	14.31	0.77	175546	44	91.71
143	14.33	0.77	176436	44	91.76
142	14.25	0.76	176043	44	91.75
141	14.13	0.77	175762	44	91.74
142	14.25	0.77	174907	44	91.63
147	14.79	0.79	177068	44	91.67
170	17.08	0.78	178033	44	92.47
173	17.37	0.77	177624	44	91.95
172	17.25	0.77	177001	44	91.82
172	17.21	0.76	178601	44	92.31
173	17.33	0.77	177835	44	92.09
173	17.38	0.77	178884	44	92.10
171	17.13	0.76	178439	44	92.12
172	17.29	0.76	176919	44	92.14
174	17.42	0.78	177896	44	92.21
156	15.58	0.77	177250	44	91.99
149	14.92	0.78	175447	44	91.69
137	13.69	0.79	165223	44	91.46
137	13.73	0.79	164454	44	91.70
136	13.64	0.79	164684	44	91.55
138	13.79	0.80	164303	44	91.51
136	13.66	0.79	164760	44	91.44
144	14.47	0.82	164289	44	91.71
167	16.76	0.79	166310	44	91.98
166	16.67	0.79	167066	44	91.87
169	16.91	0.79	164939	44	91.93
167	16.70	0.79	167153	44	91.76
167	16.69	0.78	166943	44	91.81
168	16.87	0.79	165811	44	91.77
167	16.71	0.78	165891	44	91.74
168	16.85	0.79	166957	44	91.88
169	16.91	0.80	166063	44	91.90
155	15.51	0.79	166746	44	91.67
144	14.45	0.79	165232	44	91.67
141	14.11	0.79	163133	44	91.56
141	14.12	0.79	163861	44	91.62
138	13.79	0.79	165089	44	91.48
140	14.01	0.80	164802	44	91.65
139	13.97	0.80	164928	44	91.52
158	15.82	0.76	160342	44	91.80
178	15.05	0.70	166458	48	95.71
270	9.10	0.69	232583	46	119.22
269	9.06	0.68	231561	46	119.04
260	8.81	0.70	232805	46	118.28
188	6.70	0.72	231814	46	109.98
180	6.49	0.73	229554	46	109.39
180	6.47	0.73	229728	46	109.46
179	6.44	0.73	229871	46	109.07
180	6.48	0.73	229867	47	109.31
179	6.46	0.73	229672	46	109.09
188	6.73	0.75	228490	47	110.29
174	17.47	0.77	176888	44	92.25
175	17.57	0.77	176030	44	92.31
175	17.50	0.76	175976	45	92.23
174	17.45	0.76	175188	45	92.03
176	17.67	0.77	175363	44	92.16
175	17.55	0.76	175185	44	92.10
174	17.42	0.77	176362	44	92.00
176	17.61	0.75	172408	44	91.93
183	18.33	0.73	160785	45	92.39
179	17.96	0.72	161308	44	92.21
163	16.30	0.73	160424	44	91.89
154	15.41	0.72	159716	45	91.57
154	15.38	0.72	159322	45	91.92
154	15.42	0.72	158610	44	91.80
153	15.39	0.72	159533	44	91.75
152	15.23	0.72	159366	44	91.70
153	15.36	0.72	158704	44	91.81
161	16.10	0.75	159874	45	91.95
223	12.61	0.70	190090	46	106.30
272	9.24	0.73	224250	46	119.22
266	9.03	0.71	231117	46	119.25
231	8.01	0.72	230555	46	115.08
183	6.59	0.72	229351	46	109.72
178	6.42	0.72	229058	46	109.55
179	6.47	0.72	228403	46	109.65
176	6.38	0.71	228964	46	109.33
177	6.40	0.72	229017	46	109.23
179	6.46	0.72	228660	46	109.14
186	6.66	0.73	228831	46	110.21
176	17.67	0.77	174993	45	92.88
174	17.44	0.76	176227	45	92.78
173	17.39	0.76	176630	45	92.70
175	17.54	0.76	174583	45	92.79
173	17.33	0.76	176629	45	92.73
175	17.54	0.76	176117	45	92.65
175	17.48	0.76	175638	45	92.55
178	17.83	0.73	166931	45	92.36
181	18.09	0.72	161080	45	92.63
181	18.13	0.72	160726	44	92.50
176	17.64	0.71	161532	45	92.19
160	16.06	0.72	161090	45	92.10
152	15.24	0.72	159456	45	91.76
151	15.09	0.71	159262	45	91.71
154	15.39	0.72	159017	45	91.88
152	15.25	0.71	158643	45	91.72
151	15.18	0.71	159312	44	91.79
156	15.64	0.72	159179	45	91.86
157	15.72	0.73	158953	45	91.71
244	11.40	0.70	206448	46	111.47
267	9.07	0.71	231517	46	119.27
267	9.03	0.70	231437	47	119.19
259	8.80	0.71	230843	46	118.45
188	6.72	0.72	230388	46	110.17
177	6.40	0.72	228733	46	109.68
178	6.42	0.72	228540	46	109.39
178	6.42	0.72	228805	46	109.25
178	6.44	0.72	228796	46	109.23
179	6.45	0.71	226076	47	109.22
185	6.65	0.73	225279	47	110.27
167	16.73	0.76	161075	45	92.41
164	16.45	0.76	160876	45	92.03
167	16.68	0.77	160784	45	92.39
165	16.57	0.76	160967	45	92.32
164	16.47	0.75	161213	45	92.14
166	16.70	0.75	159398	45	92.03
166	16.67	0.76	160426	45	92.31
