Avg_MHz	Busy%	IPC	IRQ	PkgTmp	PkgWatt
152	15.23	0.88	154915	44	92.72
152	15.25	0.88	154236	44	92.55
152	15.18	0.88	154305	44	92.62
156	15.63	0.88	153799	44	92.59
160	16.01	0.89	154743	44	92.81
164	16.43	0.87	154786	44	92.63
176	17.66	0.86	156795	44	92.94
175	17.53	0.87	155921	44	92.99
165	16.49	0.87	156660	44	92.98
157	15.75	0.88	155626	44	92.36
152	15.21	0.88	154372	44	92.59
152	15.22	0.88	153795	44	92.54
152	15.24	0.88	153854	44	92.66
152	15.24	0.88	154152	44	92.51
151	15.17	0.88	154550	44	92.68
158	15.90	0.89	153992	44	92.51
155	15.52	0.88	153716	44	92.65
177	17.68	0.86	155878	44	93.20
176	17.69	0.86	156004	44	92.89
173	17.32	0.87	156119	44	92.86
161	16.11	0.87	155859	44	92.80
155	15.51	0.87	154471	44	92.71
153	15.33	0.88	154004	44	92.53
153	15.33	0.87	153855	44	92.70
152	15.29	0.88	154043	44	92.55
152	15.24	0.88	153838	44	92.55
153	15.37	0.87	153921	44	92.67
160	16.07	0.88	154002	44	92.50
168	16.80	0.86	155033	44	92.87
177	17.70	0.86	155587	44	92.96
177	17.72	0.86	155982	44	92.69
162	16.21	0.87	156320	44	92.63
155	15.58	0.88	154990	44	92.53
152	15.21	0.88	154047	44	92.59
152	15.30	0.88	153577	44	92.24
154	15.38	0.87	154331	44	92.69
153	15.39	0.87	154003	44	92.62
154	15.43	0.87	153944	44	92.71
161	16.10	0.88	154289	44	92.74
160	16.08	0.87	154270	44	92.81
177	17.76	0.86	156136	44	92.93
177	17.76	0.86	156318	44	92.78
170	17.08	0.86	155995	44	92.81
161	16.07	0.87	156125	44	92.63
154	14.95	0.87	153975	44	92.26
153	14.88	0.87	154172	44	92.02
153	14.88	0.88	154157	44	92.07
154	14.96	0.87	153386	44	92.10
153	14.87	0.87	153846	44	92.24
155	15.11	0.88	153476	44	91.99
158	15.35	0.89	153921	44	92.09
181	18.07	0.86	156552	44	93.27
180	18.06	0.86	155443	44	93.21
176	17.70	0.87	152451	44	92.79
157	15.69	0.90	145243	44	92.80
152	15.18	0.90	143585	44	92.62
149	14.94	0.90	142943	44	92.60
150	14.99	0.90	142326	44	92.54
150	15.03	0.89	142381	44	92.63
150	15.01	0.89	142439	44	92.66
149	14.98	0.90	142255	44	92.64
156	15.65	0.91	142285	44	92.64
193	13.38	0.83	166062	45	102.08
236	8.35	0.82	226205	45	117.58
190	7.02	0.84	224923	45	111.28
181	6.74	0.84	223821	45	110.38
180	6.75	0.84	223867	45	110.51
180	6.72	0.85	223682	46	110.29
180	6.72	0.84	223911	45	110.06
180	6.73	0.84	223493	46	110.10
189	6.99	0.86	223464	46	111.11
180	18.01	0.87	157975	44	93.07
181	18.14	0.86	156651	44	93.15
180	18.08	0.86	156401	44	93.14
177	17.78	0.86	156137	44	93.04
164	16.46	0.87	156174	44	92.76
158	15.83	0.87	154537	44	92.82
156	15.65	0.87	153421	44	92.47
156	15.58	0.88	154059	44	92.85
156	15.61	0.88	154029	44	92.56
156	15.64	0.88	153897	44	92.72
156	15.68	0.88	153785	44	92.62
163	16.35	0.89	153664	44	92.81
218	12.88	0.81	185978	45	106.93
227	8.13	0.82	225972	45	115.21
185	6.87	0.83	224577	46	109.11
181	6.73	0.84	223824	46	108.41
181	6.73	0.84	224315	46	108.51
181	6.72	0.84	223837	46	108.34
180	6.71	0.84	224238	46	108.60
180	6.72	0.84	223935	46	108.38
188	6.95	0.85	224374	46	109.63
181	18.15	0.86	155447	45	93.12
181	18.10	0.86	155854	44	92.91
181	18.11	0.86	155789	45	92.90
173	17.36	0.86	155978	45	92.54
164	16.40	0.87	155809	44	92.63
156	15.65	0.87	153939	44	92.91
156	15.65	0.87	153645	44	92.59
157	15.73	0.87	153850	44	92.81
156	15.64	0.87	153504	44	92.74
156	15.67	0.88	153632	44	92.75
159	15.97	0.88	154131	44	92.65
160	16.04	0.88	153494	44	92.86
238	11.64	0.80	200238	46	112.38
214	7.73	0.83	225372	46	112.98
184	6.81	0.84	224494	46	108.93
182	6.74	0.84	223646	47	108.59
182	6.74	0.84	222972	46	108.37
182	6.75	0.84	223089	47	108.48
182	6.76	0.84	223395	47	108.64
182	6.77	0.84	223236	47	108.56
190	6.99	0.85	223434	47	109.81
180	18.00	0.86	156799	45	92.84
179	17.98	0.87	156187	45	92.63
181	18.17	0.86	156356	45	92.75
170	17.05	0.87	156222	45	92.83
162	16.25	0.87	155367	44	92.45
156	15.66	0.88	154177	44	92.70
156	15.70	0.88	153869	44	92.62
157	15.69	0.88	153576	44	92.92
157	15.71	0.88	153846	45	92.80
157	15.72	0.87	154114	44	92.83
164	16.39	0.89	154119	45	92.81
157	15.73	0.88	152982	44	92.50
261	10.11	0.79	213043	47	118.81
197	7.26	0.84	219446	47	110.81
181	6.73	0.84	224376	46	108.51
181	6.73	0.84	223835	47	108.37
182	6.74	0.84	224359	47	108.55
181	6.72	0.84	223856	46	108.22
181	6.74	0.84	224047	46	108.41
185	6.86	0.84	223769	50	109.13
185	6.90	0.85	223973	47	109.21
180	18.08	0.87	157403	45	93.17
179	17.94	0.87	156687	45	93.58
179	17.98	0.87	156409	45	93.45
164	16.47	0.87	155456	45	93.03
159	15.96	0.88	154878	45	92.71
155	15.57	0.88	153842	45	92.61
156	15.64	0.88	153751	45	92.80
156	15.65	0.87	153482	45	92.85
156	15.69	0.87	153288	45	92.83
156	15.68	0.88	153046	44	92.86
162	16.29	0.89	153788	45	92.95
188	14.80	0.83	164703	46	98.97
238	8.38	0.81	226803	46	118.04
190	7.04	0.84	225219	47	110.98
184	6.83	0.84	223392	47	111.04
