Connecting to host 10.45.0.1, port 5301
Reverse mode, remote host 10.45.0.1 is sending
[  5] local 10.45.0.9 port 43318 connected to 10.45.0.1 port 5301
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  5]   0.00-1.00   sec  1.27 MBytes  10.6 Mbits/sec  1.558 ms  0/986 (0%)  
[  5]   1.00-2.00   sec  1.19 MBytes  10.0 Mbits/sec  1.629 ms  0/928 (0%)  
[  5]   2.00-3.00   sec  1.19 MBytes  9.99 Mbits/sec  1.634 ms  0/926 (0%)  
[  5]   3.00-4.00   sec  1.20 MBytes  10.0 Mbits/sec  1.601 ms  0/931 (0%)  
[  5]   4.00-5.00   sec  1.19 MBytes  9.98 Mbits/sec  1.627 ms  0/925 (0%)  
[  5]   5.00-6.00   sec  1.19 MBytes  9.94 Mbits/sec  1.943 ms  0/922 (0%)  
[  5]   6.00-7.00   sec  1.20 MBytes  10.1 Mbits/sec  1.659 ms  0/935 (0%)  
[  5]   7.00-8.00   sec  1.19 MBytes  10.0 Mbits/sec  1.630 ms  0/927 (0%)  
[  5]   8.00-9.00   sec  1.18 MBytes  9.87 Mbits/sec  1.415 ms  0/915 (0%)  
[  5]   9.00-10.00  sec  1.20 MBytes  10.0 Mbits/sec  1.628 ms  0/931 (0%)  
[  5]  10.00-11.00  sec  1.16 MBytes  9.77 Mbits/sec  1.664 ms  27/933 (2.9%)  
[  5]  11.00-12.00  sec  1.15 MBytes  9.68 Mbits/sec  1.677 ms  0/898 (0%)  
[  5]  12.00-13.00  sec  1.23 MBytes  10.3 Mbits/sec  1.554 ms  0/957 (0%)  
[  5]  13.00-14.00  sec  1.20 MBytes  10.0 Mbits/sec  1.479 ms  0/930 (0%)  
[  5]  14.00-15.00  sec  1.19 MBytes  9.98 Mbits/sec  1.641 ms  0/925 (0%)  
[  5]  15.00-16.00  sec  1.20 MBytes  10.0 Mbits/sec  1.526 ms  0/931 (0%)  
[  5]  16.00-17.00  sec  1.18 MBytes  9.90 Mbits/sec  1.893 ms  0/918 (0%)  
[  5]  17.00-18.00  sec  1.20 MBytes  10.0 Mbits/sec  1.539 ms  0/931 (0%)  
[  5]  18.00-19.00  sec  1.20 MBytes  10.1 Mbits/sec  1.635 ms  0/933 (0%)  
[  5]  19.00-20.00  sec  1.19 MBytes  9.98 Mbits/sec  1.625 ms  0/925 (0%)  
[  5]  20.00-21.00  sec  1.20 MBytes  10.0 Mbits/sec  1.527 ms  0/930 (0%)  
[  5]  21.00-22.00  sec  1.19 MBytes  10.0 Mbits/sec  1.647 ms  0/927 (0%)  
[  5]  22.00-23.00  sec  1.19 MBytes  9.99 Mbits/sec  1.518 ms  0/926 (0%)  
[  5]  23.00-24.00  sec  1.19 MBytes  10.0 Mbits/sec  1.544 ms  0/929 (0%)  
[  5]  24.00-25.00  sec  1.19 MBytes  9.94 Mbits/sec  1.533 ms  0/922 (0%)  
[  5]  25.00-26.00  sec  1.19 MBytes  10.0 Mbits/sec  1.653 ms  0/927 (0%)  
[  5]  26.00-27.00  sec  1.18 MBytes  9.87 Mbits/sec  1.734 ms  0/916 (0%)  
[  5]  27.00-28.00  sec  1.20 MBytes  10.1 Mbits/sec  1.699 ms  0/937 (0%)  
[  5]  28.00-29.00  sec  1.19 MBytes  10.0 Mbits/sec  1.992 ms  0/928 (0%)  
[  5]  29.00-30.00  sec  1.20 MBytes  10.1 Mbits/sec  1.591 ms  0/932 (0%)  
[  5]  30.00-31.00  sec  1.19 MBytes  10.0 Mbits/sec  1.606 ms  0/928 (0%)  
[  5]  31.00-32.00  sec  1.19 MBytes  9.96 Mbits/sec  1.640 ms  0/924 (0%)  
[  5]  32.00-33.00  sec  1.15 MBytes  9.67 Mbits/sec  1.287 ms  0/897 (0%)  
[  5]  33.00-34.00  sec  1.14 MBytes  9.60 Mbits/sec  1.874 ms  0/890 (0%)  
[  5]  34.00-35.00  sec  1.28 MBytes  10.8 Mbits/sec  1.596 ms  0/997 (0%)  
[  5]  35.00-36.00  sec  1.19 MBytes  10.0 Mbits/sec  1.543 ms  0/928 (0%)  
[  5]  36.00-37.00  sec  1.19 MBytes  10.0 Mbits/sec  1.638 ms  0/927 (0%)  
[  5]  37.00-38.00  sec  1.19 MBytes  9.95 Mbits/sec  2.013 ms  0/923 (0%)  
[  5]  38.00-39.00  sec  1.20 MBytes  10.0 Mbits/sec  1.552 ms  0/931 (0%)  
[  5]  39.00-40.00  sec  1.19 MBytes  9.98 Mbits/sec  1.670 ms  0/925 (0%)  
[  5]  40.00-41.00  sec  1.19 MBytes  9.98 Mbits/sec  1.797 ms  0/925 (0%)  
[  5]  41.00-42.00  sec  1.20 MBytes  10.1 Mbits/sec  1.669 ms  0/932 (0%)  
[  5]  42.00-43.00  sec  1.19 MBytes  9.94 Mbits/sec  1.715 ms  0/922 (0%)  
[  5]  43.00-44.00  sec  1.19 MBytes  10.0 Mbits/sec  1.685 ms  5/933 (0.54%)  
[  5]  44.00-45.00  sec  1.18 MBytes  9.92 Mbits/sec  1.677 ms  0/920 (0%)  
[  5]  45.00-46.00  sec  1.20 MBytes  10.1 Mbits/sec  1.547 ms  0/935 (0%)  
[  5]  46.00-47.00  sec  1.19 MBytes  10.0 Mbits/sec  1.573 ms  0/929 (0%)  
[  5]  47.00-48.00  sec  1.19 MBytes  9.98 Mbits/sec  1.621 ms  0/925 (0%)  
[  5]  48.00-49.00  sec  1.19 MBytes  9.94 Mbits/sec  1.581 ms  5/927 (0.54%)  
[  5]  49.00-50.00  sec  1.20 MBytes  10.0 Mbits/sec  1.556 ms  0/930 (0%)  
[  5]  50.00-51.00  sec  1.19 MBytes  10.0 Mbits/sec  1.591 ms  0/927 (0%)  
[  5]  51.00-52.00  sec  1.19 MBytes  9.97 Mbits/sec  1.340 ms  0/925 (0%)  
[  5]  52.00-53.00  sec  1.19 MBytes  9.95 Mbits/sec  1.499 ms  0/923 (0%)  
[  5]  53.00-54.00  sec  1.20 MBytes  10.1 Mbits/sec  1.539 ms  0/934 (0%)  
[  5]  54.00-55.00  sec  1.19 MBytes  9.98 Mbits/sec  1.684 ms  0/925 (0%)  
[  5]  55.00-56.00  sec  1.19 MBytes  10.0 Mbits/sec  1.578 ms  0/928 (0%)  
[  5]  56.00-57.00  sec  1.19 MBytes  10.0 Mbits/sec  1.588 ms  0/929 (0%)  
[  5]  57.00-58.00  sec  1.14 MBytes  9.59 Mbits/sec  1.831 ms  0/890 (0%)  
[  5]  58.00-59.00  sec  1.23 MBytes  10.3 Mbits/sec  1.538 ms  0/955 (0%)  
[  5]  59.00-60.00  sec  1.19 MBytes  10.0 Mbits/sec  1.777 ms  0/929 (0%)  
[  5]  60.00-61.00  sec  1.15 MBytes  9.61 Mbits/sec  1.799 ms  5/896 (0.56%)  
[  5]  61.00-62.00  sec  1.22 MBytes  10.2 Mbits/sec  2.107 ms  0/948 (0%)  
[  5]  62.00-63.00  sec  1.21 MBytes  10.2 Mbits/sec  1.627 ms  0/944 (0%)  
[  5]  63.00-64.00  sec  1.19 MBytes  10.0 Mbits/sec  1.570 ms  0/929 (0%)  
[  5]  64.00-65.00  sec  1.19 MBytes  9.95 Mbits/sec  1.637 ms  0/923 (0%)  
[  5]  65.00-66.00  sec  1.20 MBytes  10.0 Mbits/sec  1.529 ms  0/930 (0%)  
[  5]  66.00-67.00  sec  1.18 MBytes  9.92 Mbits/sec  2.117 ms  0/920 (0%)  
[  5]  67.00-68.00  sec  1.20 MBytes  10.0 Mbits/sec  1.753 ms  0/931 (0%)  
[  5]  68.00-69.00  sec  1.19 MBytes  10.0 Mbits/sec  1.563 ms  0/928 (0%)  
[  5]  69.00-70.00  sec  1.18 MBytes  9.87 Mbits/sec  1.364 ms  0/915 (0%)  
[  5]  70.00-71.00  sec  1.21 MBytes  10.1 Mbits/sec  1.692 ms  0/939 (0%)  
[  5]  71.00-72.00  sec  1.20 MBytes  10.0 Mbits/sec  1.608 ms  0/930 (0%)  
