Avg_MHz	Busy%	IPC	IRQ	PkgTmp	PkgWatt
168	7.64	0.91	210090	50	101.78
168	7.31	0.91	209729	50	102.69
169	7.33	0.91	209996	50	102.48
169	7.33	0.91	209670	50	102.44
167	7.28	0.91	209750	50	102.43
169	7.29	0.91	209687	50	102.59
169	7.24	0.91	209572	50	102.50
169	7.22	0.91	209532	50	102.41
169	7.25	0.91	209401	50	102.50
169	7.23	0.90	209458	50	102.54
169	7.26	0.90	209254	50	102.51
168	7.20	0.91	209245	50	102.42
169	7.22	0.91	209352	50	102.41
168	7.17	0.91	209143	50	102.42
169	7.22	0.91	209436	50	102.48
168	7.17	0.91	209185	50	102.51
169	7.24	0.90	209401	50	102.34
167	7.26	0.91	209384	50	102.35
167	7.30	0.91	209790	50	102.37
168	7.31	0.91	209661	50	102.44
168	7.34	0.91	209708	50	102.46
168	7.37	0.91	209386	50	102.46
168	7.16	0.91	209932	50	102.66
168	7.09	0.91	210077	50	102.52
168	7.21	0.91	210212	50	102.62
169	7.23	0.91	210372	50	102.69
168	7.21	0.91	210071	50	102.63
168	7.32	0.91	209689	50	102.36
168	7.31	0.91	209763	50	102.55
168	7.25	0.91	209670	49	102.55
169	7.33	0.91	210015	50	102.55
169	7.21	0.91	209769	50	102.57
168	7.34	0.91	209597	50	102.36
168	7.33	0.91	209703	49	102.60
168	7.34	0.91	209775	50	102.47
168	7.33	0.91	209963	50	102.44
167	7.42	0.91	209442	50	101.87
167	7.58	0.91	209109	50	101.62
167	7.60	0.91	209522	50	101.66
167	7.44	0.91	209615	50	101.68
168	7.43	0.91	209741	50	101.76
168	7.40	0.91	209530	50	101.80
168	7.41	0.91	209765	49	101.74
167	7.36	0.91	209667	50	101.74
168	7.43	0.91	209607	50	101.86
169	7.48	0.91	209704	50	101.82
168	7.41	0.91	209644	50	101.74
168	7.32	0.91	210065	50	102.37
168	7.30	0.91	209948	50	102.56
169	7.44	0.91	209362	50	101.83
169	7.50	0.91	209836	49	101.68
168	7.56	0.91	209409	50	101.68
167	7.59	0.91	209222	50	101.67
167	7.62	0.91	209210	50	101.56
169	7.43	0.90	209358	50	101.77
169	7.27	0.90	209188	50	101.85
170	7.21	0.90	209550	50	102.67
169	7.26	0.90	209280	50	101.94
169	7.27	0.90	209491	50	101.78
169	7.27	0.90	209525	50	101.94
167	7.31	0.90	209705	50	101.75
168	7.46	0.91	209864	50	101.71
169	7.46	0.91	210024	50	101.79
168	7.43	0.91	209826	50	101.77
169	7.44	0.91	209993	50	102.02
169	7.33	0.91	210153	50	102.69
169	7.13	0.91	210712	50	102.79
168	7.07	0.90	210610	50	102.69
169	7.08	0.91	210443	50	102.70
170	7.17	0.91	210327	50	102.59
169	7.13	0.90	210621	50	102.53
169	7.35	0.91	210175	50	102.44
169	7.37	0.91	210256	50	102.66
168	7.32	0.91	210428	50	102.49
169	7.34	0.91	210392	50	102.58
169	7.15	0.90	210386	50	102.64
168	7.42	0.91	209753	50	101.83
168	7.44	0.91	209625	50	101.83
169	7.45	0.91	210076	50	102.00
167	7.54	0.91	209601	50	101.93
167	7.59	0.91	209298	50	101.73
167	7.63	0.91	209545	50	101.73
167	7.61	0.91	209343	50	101.77
167	7.62	0.91	209372	50	101.73
167	7.58	0.91	209247	50	101.70
167	7.61	0.91	209415	50	101.66
168	7.63	0.91	209333	50	101.79
167	7.63	0.91	209538	50	101.73
168	7.64	0.91	209380	50	101.86
167	7.60	0.91	209306	50	101.84
167	7.56	0.91	209481	50	101.90
167	7.54	0.91	209683	50	101.89
167	7.51	0.91	209597	50	101.88
168	7.52	0.91	209682	50	101.72
167	7.49	0.91	209853	50	101.80
167	7.50	0.91	209739	49	101.85
168	7.55	0.91	209731	50	101.89
168	7.53	0.91	209264	50	101.80
168	7.53	0.91	209840	50	101.79
168	7.53	0.91	209634	50	101.79
167	7.50	0.91	209548	50	101.77
168	7.49	0.91	209372	50	101.76
167	7.48	0.91	209657	49	101.81
167	7.49	0.91	209531	50	101.71
167	7.46	0.91	209171	50	101.70
167	7.51	0.91	209550	50	101.82
167	7.49	0.91	209673	49	101.59
168	7.53	0.91	209696	50	101.78
168	7.53	0.91	209318	50	101.71
168	7.51	0.91	209571	50	101.74
167	7.50	0.91	209806	50	101.75
167	7.51	0.91	209710	50	101.81
167	7.48	0.91	209406	50	101.78
168	7.52	0.91	209590	50	101.78
168	7.54	0.91	209612	50	101.72
168	7.21	0.91	210409	50	102.51
168	7.16	0.91	210230	50	102.64
168	7.19	0.91	210115	50	102.59
167	7.46	0.91	209646	50	101.73
168	7.52	0.91	209523	49	101.74
168	7.53	0.91	209221	50	101.64
168	7.51	0.91	209382	49	101.65
167	7.49	0.91	209474	50	101.67
168	7.51	0.91	209824	50	101.70
169	7.45	0.91	209973	49	102.43
167	7.28	0.91	210065	50	102.55
167	7.51	0.91	209484	50	101.83
168	7.66	0.91	209609	49	101.65
167	7.50	0.91	208813	49	101.66
169	7.46	0.91	208616	50	101.89
167	7.40	0.91	208608	50	101.75
168	7.43	0.91	208679	50	101.83
168	7.42	0.91	208495	50	101.69
168	7.42	0.91	208806	50	101.83
168	7.43	0.91	208774	50	101.79
169	7.47	0.90	209609	50	101.94
180	7.67	0.88	219114	50	103.02
180	7.67	0.88	219369	50	103.05
179	7.63	0.88	219636	50	103.01
180	7.63	0.88	220459	50	103.06
180	7.64	0.88	220247	50	102.93
178	7.54	0.88	220233	50	103.11
179	7.62	0.88	220301	50	103.13
180	7.63	0.88	220347	50	103.08
179	7.57	0.88	220124	50	103.12
179	7.60	0.88	220227	50	102.98
181	7.88	0.88	220056	50	103.13
172	7.67	0.89	214007	50	101.98
167	7.42	0.90	209365	50	101.75
170	7.47	0.91	209488	50	102.38
171	7.48	0.90	209788	50	102.74
171	7.30	0.89	209736	50	102.74
172	7.22	0.89	209444	50	102.82
157	6.58	0.86	212506	50	102.35
121	5.19	0.74	219774	50	100.21
121	5.22	0.74	219800	50	100.15
121	5.20	0.74	95550	50	100.13
