Avg_MHz	Busy%	IPC	IRQ	PkgTmp	PkgWatt
190	8.35	0.86	221791	50	104.31
189	8.28	0.87	221488	50	103.55
189	8.27	0.87	221345	50	103.56
188	8.24	0.87	221469	50	103.52
188	8.25	0.87	221421	49	103.49
189	8.24	0.86	221394	50	103.59
190	8.32	0.87	221290	50	103.65
188	8.24	0.87	220993	50	103.43
189	8.12	0.87	221330	50	103.57
187	8.01	0.87	221411	50	103.46
188	8.04	0.87	221482	50	103.60
189	8.15	0.87	221465	50	103.60
188	8.02	0.87	221482	50	103.66
188	8.05	0.87	221391	50	103.58
188	8.26	0.87	220821	49	103.50
190	8.43	0.86	220662	50	103.62
189	8.28	0.87	221274	50	103.56
188	8.23	0.87	221194	50	103.70
188	8.23	0.87	221269	50	103.60
189	8.33	0.87	221366	50	103.65
189	8.39	0.86	221297	50	103.54
190	8.44	0.86	221375	50	103.64
187	8.22	0.87	221216	50	103.51
188	8.28	0.87	220637	50	103.58
189	8.30	0.87	220849	50	103.60
190	8.41	0.86	220521	50	103.65
190	8.41	0.86	220782	49	103.65
189	8.36	0.87	221432	49	103.54
189	8.34	0.87	221530	50	103.45
190	8.33	0.86	221396	50	103.48
191	8.45	0.86	221220	50	103.60
190	8.36	0.87	221066	50	103.49
189	8.33	0.86	221452	49	103.47
188	8.23	0.87	221119	50	103.41
188	7.89	0.87	221113	49	103.58
189	7.93	0.87	220982	50	103.67
191	8.03	0.86	221141	50	103.76
188	8.25	0.87	221212	50	103.49
188	8.40	0.87	220482	50	103.41
187	8.48	0.87	219893	50	103.38
188	8.51	0.87	220414	50	103.37
189	8.60	0.87	220477	50	103.44
187	8.46	0.87	220066	50	103.32
187	8.48	0.87	220224	51	103.46
188	8.51	0.87	220772	49	103.45
188	8.49	0.87	220889	50	103.36
189	8.60	0.87	220379	50	103.41
188	8.50	0.87	220638	50	103.42
188	8.52	0.87	220692	49	103.39
188	8.49	0.87	220789	50	103.38
187	8.48	0.87	220787	49	103.25
189	8.61	0.87	220719	51	103.40
188	8.50	0.87	220676	50	103.37
187	8.48	0.87	220730	50	103.22
187	8.47	0.87	220671	50	103.29
189	8.59	0.87	220429	50	103.31
188	8.49	0.87	220744	50	103.31
188	8.49	0.87	220720	50	103.32
188	8.23	0.87	221216	50	103.44
189	8.51	0.87	221003	50	104.22
189	8.54	0.87	220818	50	103.50
188	8.45	0.87	220713	50	103.41
188	8.44	0.87	220506	50	103.43
188	8.50	0.87	220687	50	103.49
189	8.51	0.87	220730	49	103.39
189	8.57	0.87	220797	50	103.54
187	8.22	0.87	221110	50	103.39
188	8.41	0.87	220729	50	103.45
187	8.50	0.87	220704	50	103.41
187	8.50	0.87	220667	50	103.42
189	8.60	0.86	220760	50	103.57
187	8.46	0.87	220707	50	103.49
188	8.53	0.87	220617	50	103.47
188	8.35	0.87	220619	50	103.54
189	8.19	0.86	220220	50	103.71
189	8.54	0.86	220480	49	103.55
189	8.39	0.86	220394	50	103.57
187	8.47	0.87	220205	50	103.40
188	8.52	0.87	220315	51	103.41
189	8.54	0.87	220353	50	103.53
189	8.63	0.87	220836	50	103.59
188	8.50	0.87	220330	50	103.52
188	8.51	0.87	220110	50	103.50
187	8.47	0.87	220480	50	103.40
188	8.55	0.86	220454	50	103.47
189	8.57	0.86	220574	50	103.49
189	8.60	0.87	220538	49	103.55
188	8.50	0.87	220528	50	103.47
187	8.48	0.87	220712	50	103.43
188	8.52	0.87	220523	50	103.37
188	8.59	0.87	220692	50	103.53
188	8.54	0.87	220351	50	103.40
188	8.52	0.87	220541	50	103.40
187	8.50	0.87	220293	50	103.41
188	8.51	0.87	220104	50	103.36
189	8.61	0.86	220468	50	103.28
188	8.53	0.87	220545	51	103.37
188	8.52	0.87	220552	50	103.32
188	8.44	0.86	220423	50	103.44
188	8.52	0.87	220572	50	103.45
188	8.56	0.87	220819	50	103.54
190	8.40	0.86	220568	50	103.53
188	8.26	0.87	220977	50	103.45
188	8.26	0.87	221320	50	103.38
188	8.25	0.87	221424	50	103.41
189	8.32	0.87	220870	50	103.42
190	8.40	0.86	221074	50	103.32
189	8.26	0.87	220802	50	103.33
189	8.30	0.86	220933	50	103.24
189	8.28	0.87	220729	50	103.32
190	8.46	0.86	220948	50	103.40
189	8.25	0.87	220878	50	103.38
188	8.53	0.87	220305	50	103.31
188	8.50	0.87	220212	50	103.35
189	8.17	0.87	220447	50	103.53
191	8.31	0.86	220137	50	103.58
189	8.25	0.86	220007	50	103.52
188	8.23	0.87	220488	49	103.40
188	8.12	0.87	220493	50	103.46
188	8.08	0.87	220572	50	103.48
190	8.20	0.86	220533	49	103.67
189	8.17	0.86	220245	50	103.49
189	8.05	0.86	220781	50	103.59
187	7.88	0.87	220091	50	103.34
187	7.86	0.87	219062	50	103.53
186	8.01	0.86	218838	50	103.31
185	8.14	0.86	218548	50	103.30
181	7.89	0.86	216066	50	103.13
183	7.94	0.86	216038	51	103.24
183	7.94	0.86	215849	50	103.33
180	7.81	0.85	215838	50	103.06
157	6.78	0.79	219456	50	102.06
134	5.81	0.70	224167	50	101.27
134	5.77	0.70	224691	50	101.30
134	5.63	0.70	224876	49	101.42
134	5.78	0.70	224878	50	101.36
136	5.80	0.70	35953	51	101.33
