- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
Connecting to host 10.45.0.1, port 5301
Reverse mode, remote host 10.45.0.1 is sending
[  5] local 10.45.0.8 port 38821 connected to 10.45.0.1 port 5301
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  5]   0.00-1.00   sec  2.70 MBytes  22.7 Mbits/sec  0.531 ms  237/2339 (10%)  
[  5]   1.00-2.00   sec  1.83 MBytes  15.3 Mbits/sec  0.766 ms  0/1422 (0%)  
[  5]   2.00-3.00   sec  2.20 MBytes  18.5 Mbits/sec  0.476 ms  0/1711 (0%)  
[  5]   3.00-4.00   sec  2.47 MBytes  20.7 Mbits/sec  1.175 ms  2736/4655 (59%)  
[  5]   4.00-5.00   sec  2.13 MBytes  17.9 Mbits/sec  0.605 ms  4476/6132 (73%)  
[  5]   5.00-6.00   sec  2.30 MBytes  19.3 Mbits/sec  0.254 ms  3036/4827 (63%)  
[  5]   6.00-7.00   sec  2.38 MBytes  20.0 Mbits/sec  1.714 ms  4091/5946 (69%)  
[  5]   7.00-8.00   sec  2.61 MBytes  21.9 Mbits/sec  1.395 ms  4650/6678 (70%)  
[  5]   8.00-9.00   sec  2.29 MBytes  19.2 Mbits/sec  0.745 ms  3575/5354 (67%)  
[  5]   9.00-10.00  sec  2.25 MBytes  18.9 Mbits/sec  0.596 ms  3194/4944 (65%)  
[  5]  10.00-11.00  sec  2.20 MBytes  18.5 Mbits/sec  1.174 ms  3122/4837 (65%)  
[  5]  11.00-12.00  sec  2.19 MBytes  18.4 Mbits/sec  1.141 ms  3861/5566 (69%)  
[  5]  12.00-13.00  sec  2.13 MBytes  17.9 Mbits/sec  0.379 ms  3686/5344 (69%)  
[  5]  13.00-14.00  sec  2.50 MBytes  21.0 Mbits/sec  0.638 ms  4458/6404 (70%)  
[  5]  14.00-15.00  sec  2.44 MBytes  20.5 Mbits/sec  1.024 ms  4322/6219 (69%)  
[  5]  15.00-16.00  sec  2.24 MBytes  18.8 Mbits/sec  1.067 ms  3597/5342 (67%)  
[  5]  16.00-17.00  sec  2.65 MBytes  22.2 Mbits/sec  0.866 ms  3843/5902 (65%)  
[  5]  17.00-18.00  sec  2.39 MBytes  20.0 Mbits/sec  0.833 ms  3936/5792 (68%)  
[  5]  18.00-19.00  sec  2.12 MBytes  17.8 Mbits/sec  0.550 ms  2904/4555 (64%)  
[  5]  19.00-20.00  sec  2.07 MBytes  17.4 Mbits/sec  0.986 ms  2910/4522 (64%)  
[  5]  20.00-21.00  sec  2.16 MBytes  18.1 Mbits/sec  0.976 ms  3757/5437 (69%)  
[  5]  21.00-22.00  sec  2.20 MBytes  18.5 Mbits/sec  0.972 ms  4348/6061 (72%)  
[  5]  22.00-23.00  sec  2.21 MBytes  18.6 Mbits/sec  0.714 ms  3798/5520 (69%)  
[  5]  23.00-24.00  sec  2.30 MBytes  19.3 Mbits/sec  1.060 ms  4106/5897 (70%)  
[  5]  24.00-25.00  sec  2.16 MBytes  18.1 Mbits/sec  1.082 ms  3933/5613 (70%)  
[  5]  25.00-26.00  sec  2.16 MBytes  18.1 Mbits/sec  0.995 ms  3381/5063 (67%)  
[  5]  26.00-27.00  sec  2.10 MBytes  17.6 Mbits/sec  1.028 ms  3701/5337 (69%)  
[  5]  27.00-28.00  sec  2.22 MBytes  18.6 Mbits/sec  1.023 ms  4180/5905 (71%)  
[  5]  28.00-29.00  sec  2.30 MBytes  19.3 Mbits/sec  0.974 ms  4105/5898 (70%)  
[  5]  29.00-30.00  sec  2.29 MBytes  19.2 Mbits/sec  0.849 ms  4005/5788 (69%)  
[  5]  30.00-31.00  sec  1.95 MBytes  16.3 Mbits/sec  1.018 ms  3377/4891 (69%)  
[  5]  31.00-32.00  sec  2.09 MBytes  17.5 Mbits/sec  1.024 ms  3280/4903 (67%)  
[  5]  32.00-33.00  sec  2.06 MBytes  17.3 Mbits/sec  0.932 ms  3789/5394 (70%)  
[  5]  33.00-34.00  sec  2.10 MBytes  17.6 Mbits/sec  1.326 ms  4150/5781 (72%)  
[  5]  34.00-35.00  sec  2.41 MBytes  20.2 Mbits/sec  0.932 ms  4629/6505 (71%)  
[  5]  35.00-36.00  sec  2.26 MBytes  18.9 Mbits/sec  0.948 ms  4483/6240 (72%)  
[  5]  36.00-37.00  sec  2.28 MBytes  19.1 Mbits/sec  1.314 ms  3672/5444 (67%)  
[  5]  37.00-38.00  sec  2.10 MBytes  17.6 Mbits/sec  0.734 ms  3227/4858 (66%)  
[  5]  38.00-39.00  sec   920 KBytes  7.54 Mbits/sec  0.596 ms  1574/2273 (69%)  
[  5]  39.00-40.00  sec  0.00 Bytes  0.00 bits/sec  0.596 ms  0/0 (0%)  
[  5]  40.00-41.00  sec  0.00 Bytes  0.00 bits/sec  0.596 ms  0/0 (0%)  
[  5]  41.00-42.00  sec  0.00 Bytes  0.00 bits/sec  0.596 ms  0/0 (0%)  
[  5]  42.00-43.00  sec  0.00 Bytes  0.00 bits/sec  0.596 ms  0/0 (0%)  
[  5]  43.00-44.00  sec  0.00 Bytes  0.00 bits/sec  0.596 ms  0/0 (0%)  
[  5]  44.00-45.00  sec  0.00 Bytes  0.00 bits/sec  0.596 ms  0/0 (0%)  
[  5]  45.00-46.00  sec  0.00 Bytes  0.00 bits/sec  0.596 ms  0/0 (0%)  
[  5]  46.00-47.00  sec  0.00 Bytes  0.00 bits/sec  0.596 ms  0/0 (0%)  
[  5]  47.00-48.00  sec  0.00 Bytes  0.00 bits/sec  0.596 ms  0/0 (0%)  
[  5]  48.00-49.00  sec  0.00 Bytes  0.00 bits/sec  0.596 ms  0/0 (0%)  
[  5]  49.00-50.00  sec  0.00 Bytes  0.00 bits/sec  0.596 ms  0/0 (0%)  
[  5]  50.00-51.00  sec  0.00 Bytes  0.00 bits/sec  0.596 ms  0/0 (0%)  
[  5]  51.00-52.00  sec  0.00 Bytes  0.00 bits/sec  0.596 ms  0/0 (0%)  
[  5]  52.00-53.00  sec  0.00 Bytes  0.00 bits/sec  0.596 ms  0/0 (0%)  
[  5]  53.00-54.00  sec  0.00 Bytes  0.00 bits/sec  0.596 ms  0/0 (0%)  
[  5]  54.00-55.00  sec  0.00 Bytes  0.00 bits/sec  0.596 ms  0/0 (0%)  
[  5]  55.00-56.00  sec  0.00 Bytes  0.00 bits/sec  0.596 ms  0/0 (0%)  
[  5]  56.00-57.00  sec  0.00 Bytes  0.00 bits/sec  0.596 ms  0/0 (0%)  
[  5]  57.00-58.00  sec  0.00 Bytes  0.00 bits/sec  0.596 ms  0/0 (0%)  
[  5]  58.00-59.00  sec  0.00 Bytes  0.00 bits/sec  0.596 ms  0/0 (0%)  
[  5]  59.00-60.00  sec  0.00 Bytes  0.00 bits/sec  0.596 ms  0/0 (0%)  
[  5]  60.00-61.00  sec  0.00 Bytes  0.00 bits/sec  0.596 ms  0/0 (0%)  
[  5]  61.00-62.00  sec  0.00 Bytes  0.00 bits/sec  0.596 ms  0/0 (0%)  
[  5]  62.00-63.00  sec  0.00 Bytes  0.00 bits/sec  0.596 ms  0/0 (0%)  
[  5]  63.00-64.00  sec  0.00 Bytes  0.00 bits/sec  0.596 ms  0/0 (0%)  
[  5]  64.00-65.00  sec  0.00 Bytes  0.00 bits/sec  0.596 ms  0/0 (0%)  
[  5]  65.00-66.00  sec  0.00 Bytes  0.00 bits/sec  0.596 ms  0/0 (0%)  
[  5]  66.00-67.00  sec  0.00 Bytes  0.00 bits/sec  0.596 ms  0/0 (0%)  
[  5]  67.00-68.00  sec  0.00 Bytes  0.00 bits/sec  0.596 ms  0/0 (0%)  
[  5]  68.00-69.00  sec  0.00 Bytes  0.00 bits/sec  0.596 ms  0/0 (0%)  
[  5]  69.00-70.00  sec  0.00 Bytes  0.00 bits/sec  0.596 ms  0/0 (0%)  
[  5]  70.00-71.00  sec  0.00 Bytes  0.00 bits/sec  0.596 ms  0/0 (0%)  
