Avg_MHz	Busy%	IPC	IRQ	PkgTmp	PkgWatt
154	6.65	0.78	217511	52	106.65
153	6.72	0.78	217291	52	106.07
154	6.88	0.78	217249	52	105.09
154	6.80	0.78	217743	52	105.17
154	6.64	0.78	218282	52	105.68
155	6.72	0.78	217967	52	105.67
153	6.79	0.78	217874	52	105.42
153	6.76	0.78	217878	52	105.63
153	6.76	0.78	218263	52	105.33
154	6.79	0.78	217822	52	105.44
154	6.79	0.78	218060	53	105.49
154	6.80	0.78	217763	52	105.67
154	6.79	0.78	217927	52	105.49
154	6.81	0.78	217314	52	105.45
154	6.79	0.78	217967	52	105.74
154	6.96	0.78	217636	52	104.54
154	6.88	0.78	217724	52	104.50
153	6.87	0.78	217907	52	104.51
153	6.98	0.79	217945	52	104.37
154	6.73	0.78	217804	52	105.79
154	6.81	0.78	217879	52	104.86
154	6.77	0.78	217888	52	105.28
154	6.72	0.78	218130	52	105.53
156	6.78	0.78	217338	52	105.65
154	6.72	0.78	218135	52	105.48
155	6.74	0.78	217868	52	105.66
154	6.72	0.78	217938	52	105.82
155	6.74	0.78	217865	52	105.74
154	6.74	0.78	218130	52	105.87
154	6.78	0.78	217778	52	105.84
154	6.80	0.78	217875	52	105.69
154	6.96	0.78	217556	52	104.55
154	6.93	0.78	217809	53	104.49
154	6.91	0.78	217629	52	104.63
155	6.92	0.78	216938	52	104.77
154	6.93	0.78	217354	52	104.53
154	6.86	0.78	218110	52	105.17
154	6.85	0.78	217778	53	105.36
154	6.98	0.78	217699	52	104.61
153	7.01	0.79	217554	52	104.46
154	6.92	0.78	218005	53	104.50
154	6.90	0.78	217787	52	104.60
154	6.93	0.78	217773	52	104.59
154	6.90	0.78	217552	53	104.60
156	6.86	0.78	217398	52	105.54
154	6.89	0.78	217437	52	104.86
154	6.88	0.78	217944	52	105.07
154	6.91	0.78	217479	52	104.50
154	6.91	0.78	217955	52	104.73
154	6.92	0.78	217443	52	104.48
155	6.90	0.78	217624	52	105.05
154	6.92	0.78	217490	52	104.50
154	6.78	0.78	217965	52	105.05
154	6.84	0.78	217805	52	104.62
154	6.90	0.78	217865	53	104.64
155	6.92	0.78	217551	52	104.66
155	6.77	0.78	216957	52	104.85
155	6.88	0.78	217433	53	104.59
154	7.04	0.78	217523	53	104.44
154	6.92	0.78	217247	53	104.71
154	6.79	0.78	217883	52	105.17
155	6.57	0.78	217642	52	105.86
155	6.91	0.78	217499	52	104.62
153	6.53	0.77	219039	52	105.81
132	5.69	0.68	228339	52	103.83
133	5.80	0.68	228277	53	103.72
133	5.69	0.69	228477	52	103.84
132	5.65	0.68	228379	52	103.80
131	5.66	0.69	228113	52	103.67
132	5.76	0.69	227882	52	103.68
132	5.78	0.69	228078	52	103.63
132	5.73	0.69	227770	52	103.78
132	5.76	0.69	227793	52	103.58
132	5.74	0.69	227531	52	103.59
132	5.76	0.69	227146	52	103.67
131	5.70	0.69	227654	52	103.69
132	5.68	0.68	228998	52	103.86
131	5.68	0.69	228373	52	103.73
132	5.85	0.69	228202	52	103.63
132	5.73	0.68	228332	52	103.64
132	5.81	0.68	227749	52	103.62
132	5.68	0.69	227860	52	103.63
132	5.60	0.68	228417	52	103.75
132	5.59	0.69	228307	52	103.82
131	5.52	0.69	228148	52	103.83
131	5.56	0.69	228058	52	103.71
132	5.60	0.69	228283	52	103.67
133	5.62	0.68	227690	52	103.71
133	5.68	0.68	227106	52	103.66
133	5.75	0.68	227333	52	103.57
133	5.59	0.68	227709	52	103.68
132	5.43	0.69	228247	52	103.65
132	5.43	0.69	229311	52	103.77
132	5.46	0.69	228519	52	103.66
132	5.44	0.69	228752	52	103.68
132	5.45	0.69	228464	52	103.75
132	5.54	0.69	228299	52	103.79
132	5.48	0.69	227955	52	103.78
132	5.49	0.68	227852	52	103.74
133	5.56	0.68	228114	52	103.69
132	5.45	0.69	227966	52	103.64
131	5.43	0.69	228825	52	103.76
131	5.45	0.69	228015	52	103.72
132	5.46	0.68	228129	52	103.67
132	5.46	0.68	228347	52	103.65
132	5.43	0.68	228316	53	103.83
132	5.46	0.68	228277	52	103.73
132	5.50	0.68	228195	52	103.75
132	5.54	0.68	228329	52	103.59
132	5.48	0.68	228052	52	103.72
132	5.54	0.68	228126	52	103.56
132	5.60	0.69	228019	52	103.62
132	5.60	0.69	228160	52	103.62
133	5.64	0.68	227564	52	103.69
133	5.73	0.68	227455	52	103.62
133	5.65	0.68	228057	52	103.64
132	5.47	0.68	228630	52	103.76
133	5.69	0.68	228198	52	103.69
132	5.47	0.69	227974	52	103.76
132	5.50	0.68	228050	52	103.68
133	5.49	0.68	228163	52	103.67
133	5.54	0.68	228248	52	103.72
132	5.71	0.68	227688	52	103.64
