Avg_MHz	Busy%	IPC	IRQ	PkgTmp	PkgWatt
182	7.68	0.86	211480	55	107.27
180	7.68	0.86	212465	55	106.65
179	7.95	0.87	212955	55	106.29
181	7.86	0.86	212360	55	106.50
183	7.84	0.85	211803	55	106.57
182	7.75	0.85	211903	55	106.69
182	7.83	0.85	212157	55	106.54
181	7.71	0.86	212522	55	106.61
181	7.80	0.86	212345	55	106.54
179	7.96	0.87	213964	55	106.51
180	7.87	0.86	213144	55	106.48
183	7.81	0.85	212226	55	106.54
182	7.79	0.85	212119	55	106.49
184	7.94	0.85	211225	55	106.56
183	7.90	0.85	211783	55	106.48
183	7.73	0.85	212401	55	106.44
182	7.64	0.86	212435	55	106.53
182	7.68	0.85	212425	55	106.49
181	7.63	0.85	212977	55	106.47
183	7.71	0.85	212457	55	106.51
182	7.78	0.85	212090	55	106.53
183	7.82	0.85	212293	55	106.65
182	7.78	0.86	212798	55	106.54
181	7.74	0.86	212792	55	106.56
182	7.82	0.85	212828	55	106.71
180	7.58	0.86	212752	55	107.63
180	7.66	0.86	212964	56	107.41
181	8.02	0.86	212166	55	106.39
181	7.98	0.86	212400	55	106.37
181	7.67	0.86	212917	55	107.55
180	7.85	0.86	212723	55	106.76
179	8.08	0.87	212468	55	106.26
180	8.04	0.86	212147	55	106.22
181	8.23	0.86	211638	55	106.25
182	8.35	0.85	211802	55	106.27
182	8.08	0.86	211899	55	106.27
182	7.75	0.85	212102	55	106.57
182	7.70	0.86	212599	55	106.51
181	7.47	0.86	212857	55	107.35
180	7.50	0.86	212605	55	106.98
181	7.69	0.85	212111	55	106.54
183	7.55	0.85	212747	55	107.41
183	7.63	0.85	212395	55	106.60
181	7.50	0.86	212859	55	107.48
180	7.67	0.86	213573	55	106.36
180	7.65	0.86	213597	55	106.32
179	7.66	0.87	213736	55	106.39
181	7.58	0.86	212971	55	107.27
181	7.74	0.86	212917	55	106.42
180	8.11	0.87	213830	55	106.42
180	7.66	0.86	214099	55	107.39
179	7.98	0.87	213063	55	106.36
180	8.08	0.86	212957	55	106.62
180	7.87	0.86	213063	55	106.53
180	8.05	0.86	212840	55	106.30
180	7.88	0.86	212758	55	106.46
183	8.03	0.86	212768	55	107.35
180	8.05	0.87	213181	55	106.32
181	8.15	0.86	213290	55	106.50
183	7.73	0.85	211885	55	107.74
181	8.01	0.86	211676	55	106.21
181	7.80	0.86	212151	55	106.34
181	7.80	0.86	213698	55	106.48
181	7.76	0.86	213444	55	106.93
182	7.82	0.86	213486	55	106.41
181	7.68	0.86	213635	55	106.91
181	7.33	0.86	213282	55	107.69
178	7.49	0.87	214254	55	107.55
180	7.49	0.87	213986	55	107.54
182	7.37	0.86	212902	55	107.79
183	7.52	0.85	212700	55	107.74
181	7.69	0.86	212936	55	106.94
180	7.94	0.86	213203	55	106.28
180	7.85	0.87	213263	55	106.33
180	7.87	0.87	212761	55	106.32
180	7.83	0.86	213105	55	106.46
181	7.66	0.86	212693	55	106.51
181	7.51	0.86	212920	55	107.54
182	7.72	0.86	212604	55	106.58
181	7.66	0.86	212756	55	106.57
182	7.94	0.86	212706	55	106.56
180	8.05	0.87	212968	56	106.40
181	7.79	0.86	213324	55	106.91
180	7.71	0.86	212601	55	107.09
182	7.79	0.86	212833	55	106.81
182	7.60	0.86	213194	55	106.60
181	7.65	0.86	213028	55	106.58
181	7.57	0.86	212924	55	106.58
181	7.58	0.86	213023	55	106.54
181	7.56	0.86	213107	55	106.62
181	7.57	0.86	213070	55	106.61
182	7.59	0.86	212990	55	106.64
182	7.58	0.86	213046	55	106.61
181	7.56	0.86	213188	55	106.58
181	7.50	0.86	213320	55	106.98
181	7.33	0.86	213846	55	107.80
181	7.43	0.86	214151	56	107.67
181	7.56	0.86	213797	55	107.78
181	7.45	0.86	213920	55	107.64
181	7.62	0.86	213937	55	107.11
176	7.48	0.87	210954	55	106.18
175	7.32	0.87	211043	55	106.73
176	7.26	0.85	210652	55	107.42
177	7.14	0.85	210747	55	107.70
156	6.04	0.80	215441	55	106.95
129	4.73	0.70	222124	55	106.32
129	4.85	0.70	222146	55	105.15
129	4.85	0.70	221927	56	104.93
128	4.84	0.71	221821	55	104.98
129	4.85	0.71	221587	55	104.89
129	4.92	0.71	131565	55	105.03
