Avg_MHz	Busy%	IPC	IRQ	PkgTmp	PkgWatt
187	7.59	0.85	219234	55	108.66
186	7.77	0.84	219204	56	107.86
185	7.69	0.85	219069	55	107.29
187	7.73	0.84	219519	55	108.01
186	7.73	0.85	219988	55	107.53
186	7.73	0.85	220392	55	107.42
194	8.24	0.79	207472	54	108.18
200	8.68	0.75	195785	53	106.69
200	8.82	0.76	195842	54	106.48
199	8.74	0.76	195967	54	106.70
199	8.70	0.76	195701	54	106.42
198	8.63	0.76	195483	54	106.81
199	8.67	0.76	195942	54	106.35
198	8.73	0.76	195866	53	106.36
199	8.68	0.76	195958	54	106.48
198	8.67	0.76	195810	54	106.57
198	8.64	0.76	195958	53	106.66
198	8.64	0.76	195902	53	106.64
199	8.66	0.76	196042	53	106.69
199	8.74	0.75	195378	53	106.34
199	8.67	0.76	195813	53	106.32
200	8.69	0.75	196024	53	106.63
200	8.77	0.75	194963	53	106.52
200	8.75	0.75	195776	53	106.63
200	8.83	0.75	195769	53	106.34
200	8.62	0.76	196216	54	106.81
199	8.66	0.76	195736	53	106.50
199	8.56	0.76	195946	53	106.78
198	8.71	0.76	195661	53	106.37
199	8.53	0.76	196226	53	106.76
199	8.58	0.75	196215	53	106.79
199	8.49	0.75	196060	53	106.99
199	8.60	0.76	196130	53	106.55
199	8.62	0.76	196303	53	106.76
199	8.56	0.76	195868	53	106.60
199	8.61	0.76	195776	53	106.55
200	8.71	0.75	196153	53	107.02
200	8.60	0.75	195956	53	106.77
199	8.61	0.75	195517	53	106.80
199	8.80	0.75	195104	53	106.15
200	8.76	0.75	195862	53	106.65
200	8.80	0.75	195436	53	106.32
199	8.68	0.76	195780	53	107.08
198	8.70	0.76	195601	53	106.39
199	8.72	0.76	195491	53	106.13
199	8.64	0.75	195578	53	106.81
196	8.92	0.77	195040	53	105.73
197	8.84	0.77	195205	53	106.47
199	8.77	0.76	195740	53	106.08
200	8.75	0.75	195975	53	106.61
199	8.67	0.76	195487	53	106.36
198	8.78	0.76	195418	53	105.90
198	8.75	0.75	195562	53	106.01
199	8.68	0.76	195834	53	106.78
199	8.67	0.75	195553	53	106.70
200	8.69	0.75	195572	53	107.02
201	8.64	0.75	196873	53	107.24
203	8.64	0.74	197229	53	107.60
203	8.90	0.74	196539	53	107.80
201	8.70	0.75	196671	53	107.84
202	8.68	0.75	196796	53	107.95
202	8.62	0.75	197149	53	108.13
202	8.75	0.75	196602	53	107.19
200	8.85	0.76	196175	53	107.01
199	8.78	0.75	196619	53	107.93
201	8.83	0.75	196760	53	107.31
202	8.73	0.74	196658	53	108.00
195	8.53	0.78	197854	53	106.72
194	8.65	0.78	198220	53	107.27
196	8.51	0.77	198362	52	107.78
196	8.51	0.77	198446	52	107.71
198	8.52	0.76	195977	52	107.43
196	8.47	0.77	198765	52	107.70
197	8.51	0.77	198579	52	107.65
197	8.50	0.76	199031	52	107.27
196	8.54	0.77	198375	52	107.79
191	8.28	0.78	191831	52	107.46
187	8.10	0.79	187879	52	106.69
190	8.21	0.78	190023	52	107.05
196	8.57	0.77	198635	52	107.74
196	8.54	0.77	198524	52	107.17
196	8.53	0.77	198472	52	107.63
198	8.59	0.76	199182	52	107.88
197	8.60	0.77	198570	52	107.63
197	8.69	0.76	198695	52	107.22
198	8.71	0.76	198572	52	107.80
199	8.57	0.76	198847	52	107.16
196	8.77	0.77	198490	52	107.19
197	8.79	0.77	198299	52	107.68
196	8.53	0.76	198671	52	107.47
196	8.60	0.77	198390	52	107.33
198	8.70	0.77	198152	52	107.90
198	8.74	0.77	198856	52	107.86
197	8.63	0.77	198480	52	107.49
198	8.64	0.77	198289	52	107.63
198	8.53	0.75	199381	52	107.31
197	8.48	0.75	199484	52	107.29
192	8.22	0.74	201849	52	107.34
154	6.40	0.59	218375	52	105.23
154	6.36	0.59	218439	52	105.37
154	6.38	0.59	168103	51	105.25
