Avg_MHz	Busy%	IPC	IRQ	PkgTmp	PkgWatt
133	13.37	1.00	152894	42	93.61
134	13.46	1.01	154962	42	93.63
128	12.86	0.96	156309	42	93.44
128	12.83	0.96	156961	42	93.35
125	12.49	0.95	157363	42	93.55
149	14.94	0.94	162475	43	93.62
148	14.83	0.93	159235	42	93.87
147	14.76	0.92	158116	42	93.54
134	13.44	0.94	161349	42	93.46
127	12.72	0.94	158106	42	93.40
126	12.65	0.95	158925	42	93.43
125	12.53	0.95	158778	42	93.36
125	12.54	0.96	159761	42	93.28
125	12.52	0.95	158454	42	93.39
125	12.48	0.95	157481	42	93.32
133	13.34	0.97	158100	42	93.38
154	15.47	0.93	160778	42	93.72
153	15.37	0.92	160119	42	93.54
154	15.43	0.91	159602	43	93.67
153	15.30	0.92	160996	42	93.70
140	14.02	0.94	160235	42	93.48
132	13.18	0.95	160890	42	93.40
127	12.75	0.96	159422	42	93.45
128	12.80	0.96	158890	42	93.41
130	12.99	0.95	157000	42	93.50
128	12.80	0.95	157261	43	93.36
129	12.88	0.95	158613	42	93.40
135	13.49	0.97	159775	43	93.34
157	15.74	0.92	160096	43	93.71
157	15.75	0.92	157825	42	93.71
155	15.49	0.92	161025	42	93.56
156	15.63	0.93	161165	43	93.69
158	15.81	0.92	161549	42	93.65
149	14.92	0.92	160215	42	93.59
139	13.89	0.94	160013	43	93.33
131	13.11	0.95	155969	43	93.35
131	13.08	0.96	156856	42	93.37
130	13.04	0.96	158249	42	93.31
130	13.00	0.96	159585	42	93.41
131	13.12	0.96	159212	42	93.30
135	13.54	0.96	158243	42	93.38
135	13.49	0.95	157124	42	93.42
166	16.62	0.89	169980	42	93.71
165	16.54	0.90	170962	42	93.72
166	16.63	0.90	170115	42	93.87
161	16.14	0.91	163116	42	93.69
159	15.92	0.91	159808	43	93.67
159	15.88	0.92	158118	43	93.70
148	14.80	0.93	160501	42	93.43
138	13.88	0.95	159011	42	93.50
134	13.42	0.95	157546	42	93.42
135	13.57	0.95	156347	42	93.45
134	13.43	0.95	157316	42	93.33
134	13.43	0.95	157242	42	93.39
134	13.40	0.95	157765	42	93.41
143	14.30	0.96	162000	42	93.44
172	17.20	0.90	169491	43	93.84
165	16.51	0.91	160827	42	93.68
165	16.55	0.91	158597	43	93.63
163	16.39	0.91	159734	42	93.60
166	16.65	0.91	158696	42	93.70
164	16.41	0.91	158584	42	93.64
163	16.40	0.91	158965	42	93.57
159	15.90	0.92	160605	43	93.65
146	14.61	0.94	159297	43	93.50
138	13.84	0.95	157750	42	93.41
138	13.80	0.95	157819	43	93.36
137	13.76	0.95	157697	42	93.31
137	13.77	0.95	158600	43	93.48
138	13.80	0.95	157146	43	93.39
140	14.08	0.94	157601	43	93.50
144	14.48	0.96	156084	42	93.50
174	17.42	0.90	170608	42	93.86
174	17.42	0.90	171795	43	93.77
174	17.48	0.90	169792	43	93.81
173	17.36	0.90	169481	42	93.69
173	17.35	0.90	170363	42	93.69
173	17.31	0.90	170460	42	93.76
172	17.27	0.90	170904	42	93.55
176	17.61	0.90	170527	43	93.85
163	16.33	0.91	169845	42	93.70
153	15.32	0.92	168821	42	93.59
148	14.80	0.93	167963	43	93.66
148	14.81	0.92	166260	42	93.60
148	14.87	0.92	167578	42	93.56
147	14.73	0.92	167755	43	93.57
148	14.84	0.92	166753	43	93.48
155	15.53	0.93	167767	42	93.74
150	15.04	0.92	167371	43	93.30
278	9.51	0.78	222724	44	122.09
273	8.90	0.77	229628	44	122.58
245	8.15	0.78	229519	44	120.00
195	6.77	0.80	227865	44	115.03
186	6.52	0.81	227427	44	114.36
185	6.48	0.81	227637	44	114.25
188	6.56	0.81	226782	44	114.42
187	6.55	0.81	227184	44	114.14
186	6.51	0.81	228131	44	114.59
195	6.75	0.83	228041	45	115.24
174	17.39	0.90	171353	43	93.89
173	17.34	0.90	170802	43	93.85
174	17.49	0.89	170178	43	93.72
175	17.50	0.89	168423	43	93.82
174	17.43	0.90	169974	43	93.66
174	17.42	0.90	169890	43	93.61
174	17.40	0.90	170398	43	93.93
174	17.44	0.89	168339	43	93.77
170	17.08	0.90	169558	43	93.71
159	15.97	0.91	169460	43	93.78
148	14.85	0.93	167959	43	93.65
149	14.93	0.92	166083	43	93.60
148	14.85	0.93	167599	43	93.63
148	14.78	0.92	167706	43	93.54
147	14.78	0.93	168278	43	93.61
147	14.78	0.93	167563	43	93.64
155	15.55	0.94	167587	43	93.57
219	12.16	0.82	197616	44	108.80
277	9.03	0.75	229136	44	122.98
271	8.84	0.77	230021	44	122.73
222	7.50	0.79	229440	45	117.83
190	6.59	0.81	227695	44	114.67
187	6.52	0.82	226992	45	114.54
187	6.52	0.82	226669	45	114.58
187	6.49	0.82	227300	45	114.52
187	6.51	0.82	227227	45	114.50
187	6.49	0.82	227419	45	114.46
195	6.72	0.83	227325	45	115.55
175	17.47	0.89	169285	44	94.12
175	17.49	0.89	169912	44	94.06
175	17.56	0.89	168477	44	93.78
174	17.46	0.89	170454	44	93.86
174	17.45	0.89	169221	44	93.87
175	17.54	0.89	169749	43	93.84
174	17.48	0.89	169671	44	93.84
174	17.44	0.89	168406	44	93.81
173	17.31	0.88	170044	43	93.81
165	16.58	0.92	169171	43	93.80
127	12.69	0.78	174584	43	92.98
117	11.73	0.74	175963	43	92.67
117	11.76	0.74	175790	44	92.64
117	11.74	0.74	175680	43	92.61
118	11.87	0.75	32200	44	92.44
