Avg_MHz	Busy%	IPC	IRQ	PkgTmp	PkgWatt
167	7.39	0.89	209071	48	105.45
166	7.42	0.90	209596	48	104.34
167	7.47	0.90	209740	48	104.57
165	7.40	0.90	210078	48	104.38
166	7.43	0.90	210436	48	104.40
166	7.42	0.90	210218	48	104.33
166	7.42	0.90	210312	48	104.39
165	7.36	0.90	210235	48	104.35
165	7.36	0.90	210128	48	104.35
165	7.38	0.90	210325	48	104.36
166	7.40	0.90	210570	48	104.44
166	7.42	0.90	210382	48	104.46
166	7.41	0.90	210317	48	104.44
165	7.39	0.90	210200	48	104.45
166	7.41	0.90	210256	48	104.46
166	7.38	0.90	210426	48	104.46
166	7.42	0.90	210227	48	104.48
166	7.36	0.90	210121	48	104.45
166	7.33	0.90	209920	48	104.50
161	7.21	0.89	212151	48	104.59
166	7.37	0.90	210329	48	104.42
166	7.35	0.90	210245	48	104.47
166	7.35	0.90	210500	48	104.43
166	7.35	0.90	210473	48	104.49
166	7.34	0.90	210462	48	104.43
165	7.29	0.90	210637	48	104.40
166	7.32	0.90	210363	48	104.45
166	7.36	0.90	210274	48	104.44
166	7.31	0.90	210232	48	104.39
164	7.32	0.90	210864	48	104.36
165	7.30	0.91	210921	48	104.46
165	7.26	0.90	210799	48	104.49
165	7.25	0.90	210391	48	104.42
166	7.25	0.90	210383	48	104.50
166	7.25	0.90	210692	48	104.46
165	7.27	0.90	210428	48	104.37
166	7.30	0.90	210536	48	104.46
166	7.32	0.90	210375	48	104.49
165	7.39	0.90	210421	48	104.38
165	7.35	0.90	210401	48	104.41
165	7.31	0.91	210109	48	104.37
165	7.40	0.90	210022	48	104.39
171	7.60	0.90	210390	48	104.96
166	7.33	0.90	210274	48	104.54
165	7.34	0.90	210141	48	104.44
165	7.39	0.91	209946	48	104.49
165	7.39	0.91	210428	48	104.39
164	7.44	0.90	210121	48	104.35
165	7.44	0.90	210326	48	104.38
165	7.53	0.90	210261	48	104.30
165	7.52	0.90	210263	48	104.32
166	7.53	0.91	210169	48	104.25
165	7.50	0.90	210118	48	104.36
165	7.49	0.90	210283	48	104.41
165	7.50	0.90	210301	48	104.32
165	7.49	0.90	210070	48	104.42
165	7.49	0.91	210047	48	104.28
166	7.48	0.90	209637	48	104.38
165	7.46	0.91	210280	48	104.36
165	7.47	0.90	210012	48	104.29
165	7.47	0.90	210327	48	104.42
165	7.47	0.90	210099	48	104.42
165	7.45	0.90	210170	48	104.28
165	7.54	0.91	210071	48	104.30
165	7.47	0.90	210207	48	104.40
165	7.50	0.90	210157	48	104.38
165	7.41	0.91	210175	48	104.39
164	7.47	0.91	210113	48	104.37
165	7.41	0.90	209982	48	104.41
165	7.40	0.90	209986	48	104.34
164	7.39	0.91	210191	48	104.40
165	7.41	0.91	210012	48	104.46
164	7.38	0.91	210164	48	104.37
164	7.38	0.90	210004	48	104.30
165	7.37	0.91	210308	48	104.40
165	7.29	0.90	210258	48	104.50
165	7.27	0.91	210572	48	104.46
165	7.29	0.91	210602	48	104.43
