Avg_MHz	Busy%	IPC	IRQ	PkgTmp	PkgWatt
130	5.39	0.66	231057	48	102.85
129	5.42	0.66	230963	48	102.76
128	5.60	0.67	230641	48	101.95
129	5.74	0.66	231213	48	101.78
129	5.91	0.66	231011	48	101.02
128	5.78	0.67	230989	48	101.53
128	5.69	0.67	231512	48	101.11
129	5.85	0.66	231405	48	101.09
129	5.92	0.66	231225	48	101.10
129	5.78	0.66	231386	48	101.10
128	5.78	0.67	231036	48	101.06
128	5.79	0.67	231173	48	101.01
128	5.78	0.67	231049	48	101.11
128	5.82	0.67	230925	47	101.05
128	5.77	0.67	231176	48	101.12
128	5.87	0.67	231214	48	100.95
128	5.91	0.67	230763	48	100.82
128	5.92	0.67	231073	48	100.78
128	5.93	0.67	231009	48	100.76
129	5.83	0.67	231306	47	101.02
128	5.79	0.67	230960	48	101.04
128	5.93	0.67	230772	48	100.91
129	5.91	0.66	231615	48	101.05
129	5.92	0.66	230802	48	101.10
129	5.96	0.66	230828	48	100.97
129	5.93	0.66	231301	48	101.00
129	6.00	0.66	231096	48	100.95
129	5.90	0.66	231204	48	100.92
129	5.94	0.66	231100	48	101.06
129	5.99	0.66	231052	48	101.02
129	5.92	0.66	231394	48	100.97
128	5.83	0.67	231301	48	101.14
129	6.00	0.66	231060	48	100.95
129	5.78	0.66	231456	48	101.27
128	5.91	0.67	231206	48	100.98
128	5.93	0.67	231344	47	100.99
128	5.81	0.67	231284	48	101.17
128	5.89	0.67	231077	48	100.99
128	5.88	0.67	231300	48	101.14
129	5.85	0.67	230869	48	101.14
128	5.90	0.67	230970	48	100.96
136	6.00	0.67	231781	48	103.45
129	5.77	0.67	231721	48	101.41
129	5.76	0.67	231356	48	101.27
129	5.78	0.66	231505	48	101.32
130	5.78	0.67	231993	48	101.48
131	5.89	0.66	231966	48	102.57
130	5.77	0.66	231435	48	101.26
129	5.83	0.66	231453	48	101.15
129	5.84	0.66	231426	48	101.14
129	5.82	0.67	231893	48	101.19
130	5.83	0.67	231646	48	101.42
135	6.00	0.68	232456	48	102.88
128	5.60	0.67	231588	48	101.85
129	5.65	0.66	231686	48	101.81
129	5.51	0.67	231293	48	102.04
130	5.68	0.66	231639	48	101.95
130	5.74	0.66	231715	48	101.95
130	5.70	0.66	231823	48	101.74
129	5.81	0.66	231267	48	101.12
129	5.77	0.66	231060	48	101.13
129	5.81	0.66	230963	48	101.05
129	5.80	0.66	231393	48	101.07
130	5.86	0.66	231199	48	101.11
129	5.78	0.66	231234	48	101.31
130	5.89	0.66	231145	48	101.14
130	5.92	0.66	231388	48	101.01
130	5.91	0.66	231016	48	101.06
129	5.78	0.66	231421	48	101.21
130	5.88	0.66	231358	48	101.11
130	5.89	0.66	231252	48	101.12
130	5.90	0.66	230896	48	101.13
130	5.86	0.66	231366	48	101.10
129	5.93	0.66	231186	48	101.00
130	5.87	0.66	231602	48	101.02
130	5.94	0.66	230983	48	101.09
130	5.89	0.66	231512	48	101.09
130	5.92	0.66	231364	47	101.05
129	6.00	0.66	231398	47	100.97
129	6.04	0.66	230915	48	100.95
129	6.01	0.66	231017	48	100.97
130	5.88	0.66	230865	48	101.08
129	5.91	0.66	231366	47	101.15
129	5.85	0.66	230940	48	101.15
129	5.78	0.66	230984	48	101.07
130	5.86	0.66	231192	48	101.03
129	5.78	0.66	231552	48	101.14
129	5.83	0.66	231482	48	101.21
129	5.85	0.66	231282	48	101.21
129	5.73	0.66	231519	48	101.32
129	5.91	0.66	231192	48	101.11
129	5.93	0.66	230985	48	101.03
129	5.97	0.66	231449	48	101.19
129	5.85	0.66	231350	48	101.27
130	5.95	0.66	231340	48	101.07
129	5.87	0.66	230790	48	101.03
129	5.88	0.66	231104	48	101.02
129	5.88	0.66	231101	48	101.11
129	5.87	0.66	231433	48	101.03
129	5.89	0.66	230512	48	101.04
130	5.95	0.66	231278	48	101.12
129	5.78	0.66	231537	48	101.31
129	5.84	0.66	231545	48	101.20
129	5.87	0.66	231111	48	101.11
129	5.73	0.66	231451	48	101.20
129	5.77	0.66	231610	48	101.26
129	5.74	0.66	231512	48	101.30
129	5.77	0.66	231332	48	101.33
129	5.73	0.66	231687	48	101.35
129	5.70	0.67	231689	48	101.22
129	5.72	0.67	231547	48	101.33
129	5.79	0.66	231227	48	101.25
128	5.83	0.66	231079	48	101.02
128	5.81	0.67	231245	48	101.22
129	5.78	0.66	231291	48	101.03
129	5.87	0.66	230873	48	101.18
129	5.90	0.66	231083	48	100.99
128	5.84	0.67	231216	48	101.00
129	5.88	0.66	231011	48	101.00
129	5.90	0.66	230855	48	101.17
129	5.89	0.66	231051	48	100.94
129	5.71	0.66	231603	48	101.37
129	5.75	0.66	231466	48	101.26
129	5.71	0.66	231198	48	101.34
128	5.66	0.67	231431	48	101.23
128	5.60	0.67	231313	48	101.43
130	5.75	0.66	231364	48	101.33
130	5.95	0.66	231074	48	101.23
130	5.91	0.66	231236	47	101.05
130	5.96	0.66	231352	48	101.13
129	5.91	0.66	230781	48	101.04
129	5.85	0.66	230642	48	101.17
130	5.97	0.66	231228	48	100.98
129	5.89	0.66	231444	48	101.01
130	5.98	0.66	231066	48	100.95
129	5.86	0.66	230652	48	101.03
129	5.85	0.66	231096	48	100.95
129	5.90	0.66	231146	48	100.96
129	5.93	0.66	231249	48	100.98
131	6.02	0.66	230934	48	101.04
129	5.80	0.66	231486	48	101.20
129	5.70	0.66	231651	48	101.24
129	5.73	0.66	231480	48	101.30
129	5.73	0.66	231455	48	101.23
129	5.73	0.66	231500	48	101.19
130	5.74	0.66	231059	48	101.29
129	5.71	0.66	231434	48	101.14
129	5.66	0.66	231380	48	101.28
129	5.77	0.66	231379	48	101.12
130	5.79	0.66	231517	48	101.21
130	5.90	0.66	231015	48	100.92
130	5.85	0.66	231143	48	101.08
130	5.90	0.66	231434	48	100.95
130	5.84	0.66	231424	48	101.01
130	5.90	0.66	230804	48	100.96
130	5.88	0.66	231432	48	101.06
130	5.80	0.66	231577	48	101.11
129	5.73	0.66	231647	48	101.13
130	5.84	0.66	231038	48	101.01
130	5.85	0.66	231260	48	101.06
129	5.83	0.66	231585	48	100.93
129	5.81	0.66	231499	48	101.09
129	5.85	0.66	231142	48	101.06
129	5.84	0.66	231313	48	101.06
129	5.83	0.66	231458	48	100.99
130	5.79	0.66	231365	48	101.10
129	5.79	0.66	231378	48	101.12
128	5.80	0.67	231492	48	101.11
129	5.82	0.66	231638	48	101.13
130	5.83	0.66	231443	48	101.16
130	5.89	0.66	231222	48	101.05
129	5.83	0.66	231407	48	101.00
129	5.73	0.66	231841	48	101.15
129	5.83	0.66	231590	48	101.07
130	5.86	0.66	231065	48	101.11
130	5.88	0.66	231161	48	100.93
130	5.78	0.66	231623	48	101.17
130	5.84	0.66	231454	48	101.04
130	5.86	0.66	231296	48	100.99
130	5.85	0.66	231130	48	101.03
129	5.85	0.66	231589	48	101.12
130	5.87	0.66	231489	47	101.12
129	5.85	0.66	231125	48	101.06
130	5.91	0.66	231006	48	101.04
130	5.89	0.66	231448	48	100.98
130	5.85	0.66	231117	48	101.12
130	5.84	0.66	231045	48	101.07
130	5.84	0.66	231238	48	100.97
130	5.84	0.66	231346	48	101.02
130	5.85	0.66	231135	48	100.94
130	5.91	0.66	231008	48	101.04
130	5.86	0.66	231284	48	101.02
130	5.90	0.66	231531	48	101.03
130	5.87	0.66	231263	48	101.11
129	5.82	0.66	231250	48	101.06
130	5.89	0.66	231159	48	101.03
130	5.84	0.66	231466	48	101.04
129	5.79	0.66	231625	48	101.22
129	5.84	0.67	231378	48	101.10
129	5.80	0.66	231302	48	101.11
130	5.82	0.66	231534	48	101.11
130	5.89	0.66	231069	48	101.04
129	5.80	0.66	231091	48	101.03
129	5.81	0.66	231293	48	101.04
130	5.84	0.66	231404	48	101.16
130	5.90	0.66	231055	48	101.12
130	5.87	0.66	231000	48	101.14
130	5.84	0.66	231136	48	101.04
129	5.82	0.67	231312	48	101.14
129	5.95	0.66	231161	48	101.11
129	5.80	0.66	231340	48	101.23
130	5.86	0.66	231277	48	101.03
129	5.82	0.66	231009	48	101.20
129	5.92	0.66	231016	48	101.22
128	5.93	0.67	231044	48	101.03
128	5.89	0.67	230994	48	101.14
128	5.96	0.67	231390	48	101.05
129	5.93	0.66	230741	48	101.08
130	6.08	0.66	231267	48	100.98
129	6.01	0.66	231234	48	101.20
129	6.04	0.66	231405	48	100.99
129	5.87	0.66	231249	48	101.22
129	5.99	0.66	230739	48	100.96
129	5.96	0.66	231044	48	101.09
129	6.01	0.66	231409	48	100.89
129	5.99	0.66	231111	48	101.03
128	5.95	0.67	231100	48	101.01
128	5.91	0.67	231167	48	101.05
129	5.98	0.66	231491	48	101.08
129	5.92	0.66	231000	48	101.09
128	5.92	0.67	230941	48	101.05
129	5.93	0.66	231248	48	101.14
129	5.86	0.66	231668	48	101.11
129	5.99	0.66	230928	48	101.07
130	6.05	0.66	231249	48	101.09
128	5.89	0.67	231127	48	101.12
128	5.93	0.67	231641	48	101.07
129	6.07	0.66	230859	48	100.99
130	6.05	0.66	231275	48	101.12
129	6.05	0.66	231128	48	101.02
129	6.03	0.66	231342	48	101.10
129	6.04	0.66	231160	48	101.00
129	6.02	0.66	231251	48	101.33
128	5.90	0.67	231136	48	101.13
129	5.91	0.66	231385	48	101.20
128	5.93	0.67	230950	48	101.08
128	5.92	0.67	231160	48	100.99
128	5.93	0.67	231181	48	101.06
129	5.95	0.67	231471	48	101.12
129	5.98	0.66	230751	48	101.00
129	5.99	0.66	230909	48	100.98
128	5.92	0.67	231066	48	101.07
129	5.85	0.66	231389	48	101.11
128	5.93	0.67	230967	48	101.16
128	5.96	0.67	231131	48	100.94
128	5.95	0.67	231050	48	101.08
129	5.78	0.66	231689	48	101.37
129	5.92	0.66	230803	48	100.95
129	6.06	0.66	231285	48	101.12
