Connecting to host 10.45.0.1, port 5302
Reverse mode, remote host 10.45.0.1 is sending
[  5] local 10.45.0.3 port 42656 connected to 10.45.0.1 port 5302
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  5]   0.00-1.00   sec  1.24 MBytes  10.4 Mbits/sec  1.683 ms  0/964 (0%)  
[  5]   1.00-2.00   sec  1.19 MBytes  9.99 Mbits/sec  1.704 ms  0/926 (0%)  
[  5]   2.00-3.00   sec  1.19 MBytes  10.0 Mbits/sec  1.595 ms  0/929 (0%)  
[  5]   3.00-4.00   sec  1.19 MBytes  9.94 Mbits/sec  1.688 ms  0/922 (0%)  
[  5]   4.00-5.00   sec  1.20 MBytes  10.1 Mbits/sec  1.623 ms  0/932 (0%)  
[  5]   5.00-6.00   sec  1.19 MBytes  10.0 Mbits/sec  1.669 ms  0/927 (0%)  
[  5]   6.00-7.00   sec  1.19 MBytes  10.0 Mbits/sec  1.669 ms  0/928 (0%)  
[  5]   7.00-8.00   sec  1.18 MBytes  9.93 Mbits/sec  1.787 ms  0/921 (0%)  
[  5]   8.00-9.00   sec  1.19 MBytes  10.0 Mbits/sec  1.629 ms  0/929 (0%)  
[  5]   9.00-10.00  sec  1.20 MBytes  10.1 Mbits/sec  1.554 ms  0/932 (0%)  
[  5]  10.00-11.00  sec  1.19 MBytes  9.94 Mbits/sec  1.590 ms  0/922 (0%)  
[  5]  11.00-12.00  sec  1.20 MBytes  10.1 Mbits/sec  1.700 ms  0/932 (0%)  
[  5]  12.00-13.00  sec  1.19 MBytes  9.95 Mbits/sec  1.662 ms  0/923 (0%)  
[  5]  13.00-14.00  sec  1.18 MBytes  9.91 Mbits/sec  2.187 ms  0/919 (0%)  
[  5]  14.00-15.00  sec  1.20 MBytes  10.0 Mbits/sec  1.809 ms  0/931 (0%)  
[  5]  15.00-16.00  sec  1.20 MBytes  10.0 Mbits/sec  1.633 ms  0/931 (0%)  
[  5]  16.00-17.00  sec  1.19 MBytes  9.95 Mbits/sec  2.176 ms  0/923 (0%)  
[  5]  17.00-18.00  sec  1.20 MBytes  10.1 Mbits/sec  1.934 ms  0/932 (0%)  
[  5]  18.00-19.00  sec  1.20 MBytes  10.1 Mbits/sec  1.725 ms  0/932 (0%)  
[  5]  19.00-20.00  sec  1.19 MBytes  10.0 Mbits/sec  1.677 ms  0/927 (0%)  
[  5]  20.00-21.00  sec  1.19 MBytes  9.96 Mbits/sec  1.897 ms  0/924 (0%)  
[  5]  21.00-22.00  sec  1.20 MBytes  10.0 Mbits/sec  1.699 ms  0/931 (0%)  
[  5]  22.00-23.00  sec  1.19 MBytes  10.0 Mbits/sec  1.545 ms  0/927 (0%)  
[  5]  23.00-24.00  sec  1.19 MBytes  9.95 Mbits/sec  1.670 ms  0/923 (0%)  
[  5]  24.00-25.00  sec  1.19 MBytes  10.0 Mbits/sec  1.824 ms  0/929 (0%)  
[  5]  25.00-26.00  sec  1.20 MBytes  10.0 Mbits/sec  1.580 ms  0/931 (0%)  
[  5]  26.00-27.00  sec  1.18 MBytes  9.93 Mbits/sec  1.778 ms  0/921 (0%)  
[  5]  27.00-28.00  sec  1.20 MBytes  10.1 Mbits/sec  1.659 ms  0/932 (0%)  
[  5]  28.00-29.00  sec  1.19 MBytes  9.95 Mbits/sec  1.723 ms  0/923 (0%)  
[  5]  29.00-30.00  sec  1.20 MBytes  10.0 Mbits/sec  1.656 ms  0/931 (0%)  
[  5]  30.00-31.00  sec  1.19 MBytes  10.0 Mbits/sec  1.608 ms  0/928 (0%)  
[  5]  31.00-32.00  sec  1.19 MBytes  9.96 Mbits/sec  1.607 ms  0/924 (0%)  
[  5]  32.00-33.00  sec  1.20 MBytes  10.1 Mbits/sec  1.639 ms  0/932 (0%)  
[  5]  33.00-34.00  sec  1.19 MBytes  9.99 Mbits/sec  1.531 ms  0/926 (0%)  
[  5]  34.00-35.00  sec  1.19 MBytes  10.0 Mbits/sec  1.654 ms  0/927 (0%)  
[  5]  35.00-36.00  sec  1.18 MBytes  9.91 Mbits/sec  2.119 ms  0/919 (0%)  
[  5]  36.00-37.00  sec  1.20 MBytes  10.1 Mbits/sec  1.655 ms  0/937 (0%)  
[  5]  37.00-38.00  sec  1.19 MBytes  10.0 Mbits/sec  1.614 ms  0/927 (0%)  
[  5]  38.00-39.00  sec  1.19 MBytes  9.99 Mbits/sec  1.551 ms  0/926 (0%)  
[  5]  39.00-40.00  sec  1.18 MBytes  9.91 Mbits/sec  1.996 ms  0/919 (0%)  
[  5]  40.00-41.00  sec  1.20 MBytes  10.0 Mbits/sec  1.574 ms  0/932 (0%)  
[  5]  41.00-42.00  sec  1.20 MBytes  10.1 Mbits/sec  1.708 ms  0/932 (0%)  
[  5]  42.00-43.00  sec  1.19 MBytes  10.0 Mbits/sec  1.528 ms  0/928 (0%)  
[  5]  43.00-44.00  sec  1.19 MBytes  9.99 Mbits/sec  1.715 ms  0/926 (0%)  
[  5]  44.00-45.00  sec  1.19 MBytes  9.96 Mbits/sec  1.777 ms  0/924 (0%)  
[  5]  45.00-46.00  sec  1.19 MBytes  9.94 Mbits/sec  1.942 ms  0/922 (0%)  
[  5]  46.00-47.00  sec  1.20 MBytes  10.1 Mbits/sec  1.748 ms  0/935 (0%)  
[  5]  47.00-48.00  sec  1.19 MBytes  10.0 Mbits/sec  1.663 ms  0/928 (0%)  
[  5]  48.00-49.00  sec  1.19 MBytes  9.96 Mbits/sec  1.571 ms  0/924 (0%)  
[  5]  49.00-50.00  sec  1.19 MBytes  10.0 Mbits/sec  1.850 ms  0/927 (0%)  
[  5]  50.00-51.00  sec  1.19 MBytes  9.99 Mbits/sec  1.741 ms  0/926 (0%)  
[  5]  51.00-52.00  sec  1.19 MBytes  10.0 Mbits/sec  1.614 ms  0/929 (0%)  
[  5]  52.00-53.00  sec  1.20 MBytes  10.0 Mbits/sec  1.552 ms  0/931 (0%)  
[  5]  53.00-54.00  sec  1.19 MBytes  10.0 Mbits/sec  1.505 ms  0/927 (0%)  
[  5]  54.00-55.00  sec  1.19 MBytes  10.0 Mbits/sec  1.658 ms  0/927 (0%)  
